,학교명,소재지지번주소,소재지도로명주소,위도,경도
42,방이중학교,서울특별시 송파구 방이동 53,서울특별시 송파구 오금로11길 64 (방이동.방이중학교),37.515010575,127.1132444769
43,서울오금초등학교,서울특별시 송파구 오금동 7,서울특별시 송파구 위례성대로22길 11 (오금동.오금초등학교),37.5088663412,127.1323311532
44,서울신길초등학교,서울특별시 동작구 대방동 351-6,서울특별시 동작구 알마타길 16 (대방동),37.5108716589,126.9267292456
45,수도전기공업고등학교,서울특별시 강남구 개포동 155,서울특별시 강남구 개포로 410 . 수도전기공업고등학교 (개포동),37.4851462741,127.0626824327
46,서울로봇고등학교,서울특별시 강남구 일원동 738,서울특별시 강남구 광평로20길 63 서울로봇고등학교 (일원동),37.4807317444,127.0845760864
47,신목중학교,서울특별시 양천구 목동 902-1,서울특별시 양천구 목동중앙로 88 (목동.신목중학교),37.5370239898,126.8730724885
48,단국대학교사범대학부속중학교,서울특별시 강남구 대치동 1013-2,서울특별시 강남구 도곡로64길 21 . 단국대학교사범대학부속중학교 (대치동1013),37.4956174948,127.0577682282
49,서울대곡초등학교,서울특별시 강남구 대치동 510,서울특별시 강남구 남부순환로 3022 서울대곡초등학교 (대치동.대곡초등학교),37.4947106436,127.0650264656
50,은성중학교,서울특별시 강남구 도곡동 938-10,서울특별시 강남구 남부순환로359길 36 (도곡동. 은광여자고등학교. 은성중학교),37.4883785724,127.0352323611
51,광영고등학교,서울특별시 양천구 신월동 43-3,서울특별시 양천구 남부순환로30길 17 (신월동.광영고등학교),37.5371981027,126.8232758794
52,광영여자고등학교,서울특별시 양천구 신월동 43-3,서울특별시 양천구 남부순환로30길 17 . 광영여자고등학교 (신월동),37.5371981027,126.8232464
53,장승중학교,서울특별시 동작구 상도동 175-1,서울특별시 동작구 장승배기로10가길 25 . 장승중학교 (상도동),37.5031485833,126.9408340043
54,숭의여자고등학교,서울특별시 동작구 대방동 20-114,서울특별시 동작구 여의대방로36길 79 . 숭의여자고등학교 (대방동),37.5073641393,126.9292432834
55,서울오륜초등학교,서울특별시 송파구 방이동 89-16,서울특별시 송파구 양재대로 1196 . 서울오륜초등학교 (방이동),37.5124241077,127.1345763
56,서울개명초등학교,서울특별시 구로구 개봉동 314-165,서울특별시 구로구 개봉로1다길 16-9 (개봉동.개명초등학교),37.4830390416,126.8509791352
57,서울신강초등학교,서울특별시 양천구 신월동 864,서울특별시 양천구 중앙로55길 72 . 서울신강초등학교 (신월동.서울신강초등학교),37.5258441852,126.8422639077
58,서울가산초등학교,서울특별시 금천구 독산동 143-23,서울특별시 금천구 남부순환로 1304-11 . 서울가산초등학교 (독산동),37.4781651468,126.8963297258
59,태랑중학교,서울특별시 노원구 공릉동 117,서울특별시 노원구 화랑로51나길 51 (공릉동. 태랑중학교),37.6269840916,127.0913717919
60,서울정곡초등학교,서울특별시 강서구 방화동 836,서울특별시 강서구 방화대로50길 22 (방화동.정곡초등학교),37.57695491,126.8189327731
61,서울원묵초등학교,서울특별시 중랑구 묵동 11,서울특별시 중랑구 숙선옹주로 109 . 서울원묵초등학교 (묵동),37.6177488108,127.0868141508
62,화곡고등학교,서울특별시 강서구 내발산동 산48-3,서울특별시 강서구 강서로45길 69 (내발산동),37.5479361125,126.8315356777
63,서울장평초등학교,서울특별시 동대문구 장안동 323,서울특별시 동대문구 답십리로69길 27 (장안동. 서울장평초등학교),37.5739950231,127.0738909772
64,서울안천초등학교,서울특별시 금천구 독산동 1090,서울특별시 금천구 한내로 69-16 . 서울안천초등학교 (독산동),37.4587456425,126.8883900284
65,서울대진초등학교,서울특별시 강남구 개포동 13,서울특별시 강남구 개포로109길 74 . 서울대진초등학교 (개포동),37.4970121071,127.0780425
66,안천중학교,서울특별시 금천구 독산동 1089,서울특별시 금천구 한내로 69-44 (독산동.안천중학교),37.4595242629,126.8874987711
67,세화여자중학교,서울특별시 서초구 반포동 13,서울특별시 서초구 신반포로 56-7 (반포동),37.5019828,126.9942300138
68,인헌중학교,서울특별시 관악구 봉천동 1647,서울특별시 관악구 인헌9길 35 . 인헌중학교 (봉천동),37.4726962122,126.9688402241
69,성심여자중학교,서울특별시 용산구 원효로4가 1-1,서울특별시 용산구 원효로19길 49 . 성심여자중학교 (원효로4가),37.5342093704,126.9545933596
70,대광고등학교,서울특별시 동대문구 신설동 53-3,서울특별시 동대문구 안암로 6 . 대광고등학교 (신설동),37.5779546698,127.0253234798
71,서울가주초등학교,서울특별시 송파구 가락동 140-6,서울특별시 송파구 오금로40길 37 (가락동. 가주초등학교),37.4965672156,127.1292617
72,선덕고등학교,서울특별시 도봉구 쌍문동 263,서울특별시 도봉구 시루봉로 53 . 선덕고등학교 (쌍문동),37.656348677,127.0268765864
73,은광여자고등학교,서울특별시 강남구 도곡동 938-10,서울특별시 강남구 남부순환로359길 36 (도곡동),37.4883785724,127.0352323611
74,서울마천초등학교,서울특별시 송파구 마천동 183-4,서울특별시 송파구 마천로61다길 24 . 서울마천초등학교 (마천동),37.4955054522,127.1526294501
75,서울잠일초등학교,서울특별시 송파구 잠실동 19-1,서울특별시 송파구 올림픽로 95 서울잠일초등학교 (잠실동),37.5147416618,127.0816362169
76,홍익디자인고등학교,서울특별시 마포구 연남동 369-1,서울특별시 마포구 성미산로 111 (연남동),37.5635106357,126.9191662788
77,영락고등학교,서울특별시 관악구 봉천동 1558-1,서울특별시 관악구 청룡16길 25 . 영락고등학교 (봉천동),37.4765425944,126.9454163856
78,오주중학교,서울특별시 송파구 오금동 59,서울특별시 송파구 동남로 281 (오금동. 오주중학교),37.5015066068,127.1362652938
79,서울명신초등학교,서울특별시 종로구 창신동 7-40,서울특별시 종로구 낙산길 250 (창신동),37.58146865,127.0146228932
80,등명중학교,서울특별시 강서구 등촌동 690-4,서울특별시 강서구 공항대로39길 39 (등촌동.등명중학교),37.560193351,126.8433040869
81,서울서원초등학교,서울특별시 서초구 반포동 30-8,서울특별시 서초구 고무래로 63 . 서울서원초등학교 (반포동),37.5024388979,127.0146194577
82,서울위례솔초등학교,서울특별시 송파구 거여동 649,서울특별시 송파구 위례북로2길 12 (거여동. 서울위례솔초등학교),37.48663746,127.1509109
83,위례솔중학교,서울특별시 송파구 거여동 649,서울특별시 송파구 위례북로 10 . 위례솔중학교 (거여동. 덕수고등학교내),37.48738292,127.1503042
84,서울영화초등학교,서울특별시 동작구 대방동 13-2,서울특별시 동작구 등용로8길 3 . 서울영화초등학교 (대방동),37.50914588,126.9336276168
85,서울자곡초등학교,서울특별시 강남구 자곡동 642,서울특별시 강남구 자곡로 150 (자곡동),37.472190719,127.0996665
86,서울한남초등학교,서울특별시 용산구 한남동 726-1,서울특별시 용산구 한남대로 112 . 서울한남초등학교 (한남동),37.5392036532,127.0055998474
87,서울공진초등학교,서울특별시 강서구 마곡동 730-676,서울특별시 강서구 마곡서로 33(마곡동) 서울공진초등학교,37.55780477,126.8226103516
88,서울신성초등학교,서울특별시 관악구 신림동 118-1,서울특별시 관악구 신림로 114 . 서울신성초등학교 (신림동),37.4720033122,126.9367541503
89,서울논현초등학교,서울특별시 강남구 논현동 168,서울특별시 강남구 강남대로120길 33 (논현동.논현초등학교),37.5084232,127.0262229106
90,서울구룡초등학교,서울특별시 강남구 개포동 655,서울특별시 강남구 개포로 263 (개포동.구룡초등학교),37.4811973926,127.0517714355
91,서울독립문초등학교,서울특별시 종로구 무악동 46-82,서울특별시 종로구 통일로12길 23 (무악동. 독립문초등학교),37.5742155272,126.9599721998
92,서울신내초등학교,서울특별시 중랑구 신내동 444,서울특별시 중랑구 용마산로125나길 22 (신내동.신내초등학교),37.6049342235,127.1001284621
93,서울중곡초등학교,서울특별시 중랑구 면목동 380,서울특별시 중랑구 면목로23길 20 (면목동.중곡초등학교),37.5748917275,127.0834390437
94,원묵고등학교,서울특별시 중랑구 묵동 23,서울특별시 중랑구 숙선옹주로 82 . 원묵고등학교 (묵동),37.6152323139,127.0855077845
95,서울전농초등학교,서울특별시 동대문구 전농동 298,서울특별시 동대문구 사가정로 66 . 서울전농초등학교 (전농동),37.5747303146,127.0543331391
96,봉영여자중학교,서울특별시 양천구 신정동 325-8,서울특별시 양천구 목동동로2길 68 (신정동),37.5092159752,126.8601984259
97,서울잠실초등학교,서울특별시 송파구 신천동 20-2,서울특별시 송파구 올림픽로35길 20 (신천동.잠실초등학교),37.52010753,127.1113113852
98,서울신곡초등학교,서울특별시 강서구 화곡동 476-42,서울특별시 강서구 등촌로13자길 42-14 (화곡동.신곡초등학교),37.5390954574,126.8560095693
99,단국대학교사범대학부속고등학교,서울특별시 강남구 대치동 1013-3,서울특별시 강남구 도곡로64길 21 . 단대부고 (대치동),37.4956174948,127.0577682282
100,서울불광초등학교,서울특별시 은평구 불광동 272-2,서울특별시 은평구 불광로 51 . 서울불광초등학교 (불광동),37.6134294463,126.9307187122
101,상명대학교사범대학부속초등학교,서울특별시 종로구 홍지동 56,서울특별시 종로구 홍지문2길 1 (홍지동. 상명초등학교),37.6004405635,126.9567149182
102,동국대학교사범대학부속고등학교,서울특별시 동대문구 장안동 328,서울특별시 동대문구 장안벚꽃로 201 (장안동.동국대학교사범대학부속고등학교),37.5780471818,127.0751330189
103,가재울고등학교,서울특별시 서대문구 북가좌동 476,서울특별시 서대문구 수색로 100-35 (북가좌동),37.574445874,126.9094147806
104,고명외식고등학교,서울특별시 성북구 동선동4가 325-1,서울특별시 성북구 북악산로 870 (돈암동),37.5976746822,127.0191869256
105,서울면동초등학교,서울특별시 중랑구 면목동 551,서울특별시 중랑구 면목로57길 32 . 서울면동초등학교 (면목동. 면동초등학교),37.5853515241,127.0865921933
106,상명대학교사범대학부속여자중학교,서울특별시 종로구 홍지동 7-1,서울특별시 종로구 홍지문2길 20 (홍지동),37.6041089058,126.9551594965
107,목동중학교,서울특별시 양천구 신정동 88-1,서울특별시 양천구 목동동로 172 (신정동.목동중학교),37.5209571978,126.8714631
108,정신여자고등학교,서울특별시 송파구 잠실동 50-4,서울특별시 송파구 올림픽로4길 16 . 정신여자고등학교 (잠실동),37.5094538398,127.0738473291
109,서울원촌초등학교,서울특별시 서초구 반포동 21,서울특별시 서초구 사평대로45길 26 (반포동.서울원촌초등학교),37.5061894793,127.0125656334
110,중앙중학교,서울특별시 종로구 계동 1-23,서울특별시 종로구 창덕궁길 164 중앙중학교 (계동),37.5837882231,126.987472622
111,서울가원초등학교,서울특별시 송파구 문정동 150-10,서울특별시 송파구 중대로4길 8 (문정동. 가원초등학교),37.4894421482,127.1110273898
112,서울영상고등학교,서울특별시 양천구 신정동 984,서울특별시 양천구 목동로11길 46 . 서울영상고등학교 (신정동),37.52330444,126.8602935246
113,남성중학교,서울특별시 동작구 사당동 304-45,서울특별시 동작구 남부순환로269길 166 (사당동. 남성중학교),37.4790082237,126.972489
114,서울강남초등학교,서울특별시 동작구 상도1동 501-1,서울특별시 동작구 강남초등길 15 (상도1동. 강남초등학교),37.50619275,126.9533591417
115,정신여자중학교,서울특별시 송파구 잠실동 50-4,서울특별시 송파구 올림픽로4길 16 . 정신여자중학교 (잠실동),37.5094538398,127.0738473291
116,서울송례초등학교,서울특별시 송파구 장지동 898,서울특별시 송파구 위례순환로 439 (장지동. 서울송례초등학교),37.4778912971,127.1384402262
117,송례중학교,서울특별시 송파구 장지동 393,서울특별시 송파구 위례순환로 429 (장지동),37.47783301,127.1397415
118,오륜중학교,서울특별시 송파구 방이동 89-7,서울특별시 송파구 양재대로 1242 (방이동.오륜중학교),37.516323946,127.1389238324
119,방산중학교,서울특별시 송파구 방이동 220,서울특별시 송파구 오금로29길 31 (방이동. 방산중학교),37.5093728736,127.1218756115
120,서울영림초등학교,서울특별시 영등포구 대림동 993-16,서울특별시 영등포구 시흥대로173길 14 . 서울영림초등학교 (대림동),37.4873460122,126.9025393
121,원촌중학교,서울특별시 서초구 반포동 22,서울특별시 서초구 사평대로45길 10 (반포동.원촌중학교),37.5063251046,127.0146997242
122,서울상봉초등학교,서울특별시 중랑구 상봉동 312-1,서울특별시 중랑구 동일로126가길 11 . 서울상봉초등학교 (상봉동),37.5979789522,127.0831714191
123,서울원광초등학교,서울특별시 노원구 중계동 359,서울특별시 노원구 덕릉로76길 18 (중계동.원광초등학교),37.6543109224,127.0749142468
124,서울월계초등학교,서울특별시 노원구 월계동 561,서울특별시 노원구 월계로45가길 10 (월계동.월계초등학교),37.62762424,127.0501876323
125,우신고등학교,서울특별시 구로구 궁동 230,서울특별시 구로구 부일로 917 . 우신고등학교 (궁동),37.4949023087,126.8263535997
126,단국대학교부속소프트웨어고등학교,서울특별시 강남구 대치동 1013-3,서울특별시 강남구 도곡로64길 21 (대치동 1013),37.49562483,127.0577682282
127,남서울중학교,서울특별시 관악구 신림동 1690-3,서울특별시 관악구 남부순환로172길 97 . 남서울중학교 (신림동),37.4821362472,126.9210371353
128,상명대학교사범대학부속여자고등학교,서울특별시 종로구 홍지동 7-1,서울특별시 종로구 홍지문2길 20 (홍지동.상명대학교),37.6041089058,126.9551594965
129,서울양원초등학교,서울특별시 양천구 신월동 260-1,서울특별시 양천구 화곡로 16 (신월동.서울양원초등학교),37.5382173279,126.8231052242
130,서울동작초등학교,서울특별시 동작구 사당동 산9-1,서울특별시 동작구 동작대로29길 214 . 서울동작초등학교 (사당동),37.49410161,126.9765088317
131,서울문영여자고등학교,서울특별시 관악구 봉천동 1695,서울특별시 관악구 관악로 85 . 서울문영여자고등학교 (봉천동),37.4729045674,126.9509180627
132,서울갈산초등학교,서울특별시 양천구 신정동 330-10,서울특별시 양천구 목동로 31 (신정동.서울갈산초등학교),37.5123715649,126.8702298753
133,서울태랑초등학교,서울특별시 노원구 공릉동 116,서울특별시 노원구 화랑로51나길 31 . 서울태랑초등학교 (공릉동),37.6287826577,127.0889915089
134,서울한천초등학교,서울특별시 노원구 월계동 3-7,서울특별시 노원구 마들로 45 . 서울한천초등학교 (월계동),37.6207093618,127.0692435267
135,서울신구초등학교,서울특별시 강남구 신사동 550-11,서울특별시 강남구 압구정로18길 28 (신사동.신구초등학교),37.5233605741,127.0239924278
136,서울봉화초등학교,서울특별시 중랑구 신내동 655,서울특별시 중랑구 신내로15길 110 (신내동.봉화초등학교),37.613576231,127.0924084884
137,봉은중학교,서울특별시 강남구 삼성동 82-7,서울특별시 강남구 영동대로128길 59 (삼성동. 봉은중학교),37.5189766694,127.0623893519
138,서울중화초등학교,서울특별시 중랑구 신내동 531,서울특별시 중랑구 신내로7가길 22 . 서울중화초등학교 (신내동),37.6029216253,127.0940649949
139,서울상월초등학교,서울특별시 노원구 상계동 697,서울특별시 노원구 동일로221길 27 (상계동),37.6586522394,127.0569799721
140,선유중학교,서울특별시 영등포구 양평동3가 82,서울특별시 영등포구 선유로 213 (양평동3가),37.5332864654,126.8943293
141,서울중목초등학교,서울특별시 중랑구 면목동 180-5,서울특별시 중랑구 동일로 665 . 서울중목초등학교 (면목동),37.5900873502,127.0793361
142,독산고등학교,서울특별시 금천구 독산동 907-34,서울특별시 금천구 문성로 64 . 독산고등학교 (독산동),37.4762187185,126.9109732
143,서울은천초등학교,서울특별시 관악구 봉천동 622-1,서울특별시 관악구 은천로 69 (봉천동),37.486585204,126.9426791326
