대여소 번호,보관소(대여소)명,자치구,상세주소,위도,경도,설치시기,LCD 거치대수,QR 거치대수,운영방식
1411, 상봉시장앞 교차로 한성빌딩 앞,중랑구,서울특별시 중랑구 면목로 456 중랑구 면목동 282-4,37.59254074,127.0867386,2017-06-27,10,,LCD
1413, 봉화산역 5번출구 뒤,중랑구,서울특별시 중랑구 신내로 지하 232 봉화산역 5번출구 뒤,37.61756134,127.0903091,2017-04-26,10,,LCD
1414, 사가정역 2번출구,중랑구,서울특별시 중랑구 면목로 325,37.58098984,127.0882416,2017-06-22,,10,QR
1416, 상봉역 3번출구,중랑구,서울특별시 중랑구 면목로 480 중랑구 상봉동 160-22,37.59521866,127.0859985,2017-06-22,8,,LCD
1418, 새솔초등학교,중랑구,서울특별시 중랑구 신내역로1길 164 새솔초등학교,37.61743927,127.1090164,2017-04-26,10,,LCD
1420, 신내어울공원 앞,중랑구,서울특별시 중랑구 신내로16길 33 신내동 의료안심주택,37.61394501,127.097702,2017-04-26,15,,LCD
1421, 신내역 4번출구,중랑구,서울특별시 중랑구 신내로 지하 232 신내역 4번출구,37.61246109,127.1033783,2017-04-26,13,,LCD
1422, 신내우디안아파트 1단지,중랑구,서울특별시 중랑구 신내역로 213 신내우디안아파트 1단지,37.62009811,127.1064606,2017-04-26,10,,LCD
1424, 양원역 2번출구,중랑구,서울특별시 중랑구 송림길 147 양원역 2번출구,37.6063118,127.1077423,2017-04-26,10,,LCD
1425, 용마문화복지센터,중랑구,서울특별시 중랑구 용마산로86길 9-27 용마문화복지센터,37.58745956,127.0959702,2017-04-26,10,,LCD
1426, 면목도시개발아파트 1동 앞,중랑구,서울특별시 중랑구 용마산로 지하 227 면목도시개발아파트 1동 앞,37.57358932,127.0868225,2017-04-26,10,,LCD
1427, 용마산역 1번출구,중랑구,서울특별시 중랑구 용마산로 지하 227 중랑구 면목동 1381,37.57429886,127.0869141,2017-06-22,10,,LCD
1428, 원묵고등학교,중랑구,서울특별시 중랑구 숙선옹주로 66 중랑구 묵동 20-3,37.61602402,127.085968,2017-06-22,10,,LCD
1429, 장안중학교,중랑구,서울특별시 중랑구 동일로 778 동일로 778,37.59995651,127.0800018,2017-06-22,15,,LCD
1430, 중랑구청,중랑구,서울특별시 중랑구 봉화산로 179 중랑구 신내동 662-1,37.60615158,127.092598,2017-06-22,20,,LCD
1431, 중랑구청 사거리,중랑구,서울특별시 중랑구 봉화산로 194 중랑구 신내동 561,37.60649872,127.0954514,2017-06-22,10,,LCD
1433, 중화역 2번출구,중랑구,서울특별시 중랑구 동일로 지하 797 중랑구 중화동 50-3,37.60207748,127.0795822,2017-06-22,10,,LCD
1435, 능산삼거리,중랑구,서울특별시 중랑구 용마산로 644 능산삼거리,37.60868073,127.1007919,2017-04-26,10,,LCD
1436, 동원베네스트 건물 앞,중랑구,서울특별시 중랑구 용마산로 640,37.60810089,127.101181,2017-04-26,15,,LCD
1437, 늘푸른공원 앞,중랑구,서울특별시 중랑구 동일로 594 늘푸른공원 앞,37.5834198,127.0799255,2017-04-26,15,,LCD
1438, 홈플러스 신내점 앞,중랑구,서울특별시 중랑구 신내로 지하 232 홈플러스 신내점 앞,37.61616898,127.093483,2017-04-26,15,,LCD
1440, 면목2동 사거리,중랑구,서울특별시 중랑구 동일로 628 하나은행,37.58637238,127.0800705,2017-08-01,10,,LCD
1441, 신내능말공원,중랑구,서울특별시 중랑구 신내역로 165 신내 데시앙포레,37.61670685,127.11026,2017-04-26,10,,LCD
1442, 중랑구 중소기업 창업센터,중랑구,서울특별시 중화동 50-8 (구)신한은행 중랑교지점,37.59859085,127.0798187,2017-11-01,8,,LCD
1444, 면목4치안센터,중랑구,서울특별시 면목동 646-4 면목4치안센터,37.57402802,127.0805435,2017-11-01,10,,LCD
1445, 용마지구대,중랑구,서울특별시 면목동 197-5 용마지구대,37.5799408,127.0793991,2017-11-01,10,,LCD
1446, 중랑전화국 교차로,중랑구,서울특별시 중랑구 면목동 282-8 중랑전화국 교차로,37.59130096,127.0803299,2017-11-01,10,,LCD
1447, 면목역 3번출구,중랑구,서울특별시 면목동 120-2 면목역 3번출구,37.58890152,127.0872803,2017-11-01,15,,LCD
1448, 코스트코 상봉점,중랑구,서울특별시 상봉동 160-3 코스트코 상봉점,37.59732056,127.089798,2017-11-01,15,,LCD
1449, 상봉역 1번출구,중랑구,서울특별시 중랑구 망우로 297 상봉역 1번출구,37.59655762,127.0858383,2017-11-28,15,,LCD
1450, 화랑대역 7번출구,중랑구,서울특별시 중랑구 묵동 6-3,37.61963654,127.0850449,2017-11-28,10,,LCD
1451, 중랑세무서,중랑구,서울특별시 중랑구 망우로 176 중랑세무서,37.59275818,127.07267,2017-11-28,10,,LCD
1452, 겸재교 진입부,중랑구,서울특별시 중랑구 겸재로 68 겸재교진입부,37.58565521,127.0750504,2017-11-29,20,,LCD
1453, 중랑캠핑숲,중랑구,서울특별시 중랑구 송림길 172 중랑캠핑숲,37.60460281,127.1092529,2017-12-22,9,,LCD
1454, 한국전력공사(동대문 중랑지사),중랑구,서울특별시 중랑구 동일로 862 한국전력공사(동대문 중랑지사),37.6073494,127.0785904,2017-12-22,10,,LCD
1455, 상봉역 2번 출구,중랑구,서울특별시 중랑구 망우로 297 상봉역 2번 출구,37.59632874,127.0858994,2018-02-13,10,,LCD
1456, 상아빌딩(우림시장 교차로),중랑구,서울특별시 중랑구 용마산로 494 상아빌딩(우림시장 교차로),37.59511185,127.1003265,2018-02-26,10,,LCD
1457, 동원사거리,중랑구,서울특별시 중랑구 겸재로 229 동원사거리,37.58975983,127.0932388,2018-02-26,10,,LCD
1458, 상봉터미널2,중랑구,서울특별시 중랑구 용마산로115길 127 용마산로115길 127,37.59733963,127.0930862,2018-11-02,,9,QR
1459, 용마한신아파트사거리,중랑구,서울특별시 중랑구 용마산로 313 용마한신아파트사거리,37.58034897,127.0926514,2018-10-29,10,,LCD
1461,동양엔파트 앞,중랑구,서울특별시 중랑구 망우로 203 중화동주상복합,37.593853,127.0750732,2020-04-21,,12,QR
1462,동부시장 북문 앞,중랑구,서울특별시 중랑구 망우로 214 우도빌딩,37.59386826,127.0765228,2020-05-05,,9,QR
1463,중랑구민회관,중랑구,서울특별시 중랑구 면목로 238 중랑구민회관,37.57407761,127.0850067,2020-04-30,,10,QR
1464,중화역 4번출구,중랑구,서울특별시 중랑구 동일로 815,37.60305405,127.0790024,2020-04-21,,15,QR
1465,중랑공영차고지 옆,중랑구,서울특별시 중랑구 신내동 63-8,37.61314774,127.1051483,2020-04-14,,10,QR
1466,두산대림아파트 삼거리,중랑구,서울특별시 중랑구 신내로23길 9 묵동근생빌딩,37.61882401,127.0875702,2020-04-14,,10,QR
1467,sk신내 주유소앞(용마산로),중랑구,서울특별시 중랑구 신내동 353-2,37.61362076,127.1011505,2020-04-14,,10,QR
1468,먹골역 7번 출구,중랑구,서울특별시 중랑구 동일로 901 먹골역,37.6114769,127.0773926,2020-04-21,,6,QR
1469,먹골역 4번출구,중랑구,서울특별시 중랑구 동일로 890,37.60982132,127.0781326,2020-04-21,,20,QR
1470,중화동 우리은행 앞,중랑구,서울특별시 중랑구 동일로 837 우리은행,37.60520172,127.0785828,2020-04-20,,20,QR
1471,동양쇼핑 정류소 앞,중랑구,서울특별시 중랑구 묵동 190-2,37.61535263,127.0784912,2020-06-18,,10,QR
1472,영성빌딩(PAT),중랑구,서울특별시 중랑구 동일로 824 신성빌딩,37.60408401,127.0792313,2020-04-20,,8,QR
1473,중랑역 1번 출구(중화문화복지센터),중랑구,서울특별시 중랑구 중화동 321-129,37.59489059,127.0749512,2020-04-21,,10,QR
1474,서울중랑우체국,중랑구,서울특별시 중랑구 망우로 271 서울중랑우체국,37.59581375,127.08284,2020-05-05,,10,QR
1477,면목삼익아파트 앞,중랑구,서울특별시 중랑구 동일로 501 면목삼익아파트,37.57598495,127.0796051,2020-04-14,,10,QR
1478,홈플러스 상봉점 앞,중랑구,서울특별시 중랑구 상봉동 500-1,37.59832764,127.0922699,2020-04-21,,15,QR
1479,면목 홈플러스 2,중랑구,서울특별시 중랑구 사가정로 326 중랑구 실향민협의회,37.58105469,127.0820923,2020-04-14,,10,QR
1480, 용마지구대 옆,중랑구,서울특별시 중랑구 동일로 566 중랑경찰서용마지구대,37.58111191,127.080101,2020-04-16,,15,QR
4802, 새우개마을,중랑구,서울특별시 중랑구 신내동278-50,37.61571121,127.1010437,2021-02-15,,8,QR
4803, 상봉2동 주민센터 앞,중랑구,서울특별시 중랑구 상봉동 126-42,37.59268951,127.0802841,2021-02-15,,7,QR
4804, 동서울농협 앞,중랑구,서울특별시 중랑구 망우로 290,37.59596252,127.0847778,2021-02-16,,9,QR
4807, 라코지스테이 앞,중랑구,서울특별시 중랑구 망우로232,37.59432602,127.0784607,2021-02-16,,8,QR
4808, 신내2동 주민센터 앞,중랑구,서울특별시 중랑구 봉화산로 190,37.60641098,127.0940476,2021-02-16,,8,QR
4809," 동성1,2차 아파트 앞",중랑구,서울특별시 중랑구 신내로 126 동성아파트,37.61022568,127.096283,2021-02-15,,8,QR
4811, 한양수자인아파트 앞,중랑구,서울특별시 중랑구 면목동 1085-1,37.58032227,127.0941544,2021-02-17,,10,QR
4812, 묵동 이마트 앞,중랑구,서울특별시 중랑구 묵동 170-45,37.6132164,127.0773468,2021-02-17,,10,QR
4813, 망우지구대,중랑구,서울특별시 중랑구 망우로 400,37.59877777,127.0963898,2021-02-16,,10,QR
4815, 중랑데시앙플렉스 앞,중랑구,서울 중랑구 신내역로3길 40-36,37.61755371,127.1039963,2021-04-26,,8,QR
4819, 면목동 새싹어린이공원 앞,중랑구,서울특별시 중랑구 동일로92길 57,37.58333206,127.0835495,2021-06-01,,10,QR
4820, 망우역 2번 출구,중랑구,서울특별시 중랑구 중랑구 망우로55길 11-10(상봉동),37.60025406,127.091713,2021-07-02,,8,QR
4823, 방정환교육지원센터 옆,중랑구,서울특별시 중랑구 중랑구 망우로 325(상봉동),37.59780884,127.0884476,2021-08-17,,8,QR
4825, 신내동 벽산아파트 후문 앞,중랑구,서울특별시 중랑구 용마산로125길 50 벽산아파트,37.6030426,127.100502,2021-08-28,,8,QR
4828, 신내동 한살림 중랑지구 앞,중랑구,서울특별시 중랑구 신내동 574-1,37.60428619,127.0973663,2021-10-08,,5,QR
4829, 신내동 한살림 중랑지구 북축,중랑구,서울특별시 중랑구 신내동 574-1,37.60446167,127.0974121,2021-10-08,,5,QR
4824, 상봉신협 앞,중랑구,서울특별시 중랑구 봉우재로41길 6 청운명가프라임,37.59354401,127.0897903,2021-08-26,,7,QR
4826, 홈플러스 면목점,중랑구,서울특별시 중랑구 동일로 540,37.57984543,127.0824204,2021-08-28,,8,QR
4827, 신내SK V1센터 앞,중랑구,서울특별시 중랑구 중랑구 신내역로 111,37.6127243,127.11306,2021-09-23,,20,QR
4834, 용마복지센터 앞,중랑구,서울특별시 중랑구 중랑구 용마산로 393,37.58686447,127.0953217,2021-10-28,,8,QR
4835, 망우동 본죽 앞,중랑구,서울특별시 중랑구 망우로 467,37.60064316,127.1040497,2021-11-11,,7,QR
4836, 양원역 1번 출구,중랑구,서울특별시 중랑구 망우동 253-18,37.60655212,127.1070862,2021-12-13,,15,QR
