,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동,shortest_subway,shortest_subway_meter,public_place_in_100m,shortest_bus,shortest_bus_meter
548, 상봉시장앞 교차로 한성빌딩 앞,중랑구,서울특별시 중랑구 면목로 456 중랑구 면목동 282-4,37.59254074,127.0867386,봉우재로,면목동,면목,444.9,0,면목6거리,60.4
549, 봉화산역 5번출구 뒤,중랑구,서울특별시 중랑구 신내로 지하 232 봉화산역 5번출구 뒤,37.61756134,127.0903091,신내로17길,묵동,봉화산,101.2,0,신내우체국.5단지두산대림아파트,113.4
550, 사가정역 2번출구,중랑구,서울특별시 중랑구 면목로 325,37.58098984,127.0882416,면목로45길,면목동,사가정,23.4,2,지하철7호선사가정역,31.1
551, 상봉역 3번출구,중랑구,서울특별시 중랑구 면목로 480 중랑구 상봉동 160-22,37.59521866,127.0859985,면목로94길,상봉동,상봉,152.9,0,지하철7호선상봉역,92.5
552, 새솔초등학교,중랑구,서울특별시 중랑구 신내역로1길 164 새솔초등학교,37.61743927,127.1090164,신내역로1길,신내동,신내,719.3,0,새솔초등학교,45.2
553, 신내어울공원 앞,중랑구,서울특별시 중랑구 신내로16길 33 신내동 의료안심주택,37.61394501,127.097702,신내로18길,신내동,신내,501.0,0,서울의료원후문,25.9
554, 신내역 4번출구,중랑구,서울특별시 중랑구 신내로 지하 232 신내역 4번출구,37.61246109,127.1033783,용마산로136길,망우동,신내,49.3,0,신내역1번출구,28.5
555, 신내우디안아파트 1단지,중랑구,서울특별시 중랑구 신내역로 213 신내우디안아파트 1단지,37.62009811,127.1064606,용마산로139나길,신내동,신내,850.0,0,우디안아파트114동앞,101.4
556, 양원역 2번출구,중랑구,서울특별시 중랑구 송림길 147 양원역 2번출구,37.6063118,127.1077423,양원역로,망우동,양원,34.7,0,양원역,20.8
557, 용마문화복지센터,중랑구,서울특별시 중랑구 용마산로86길 9-27 용마문화복지센터,37.58745956,127.0959702,용마산로86길,면목동,면목,758.1,0,서일대정문,28.2
558, 면목도시개발아파트 1동 앞,중랑구,서울특별시 중랑구 용마산로 지하 227 면목도시개발아파트 1동 앞,37.57358932,127.0868225,용마산로45길,면목동,용마산,10.6,0,용마산역,26.7
559, 용마산역 1번출구,중랑구,서울특별시 중랑구 용마산로 지하 227 중랑구 면목동 1381,37.57429886,127.0869141,면목로28길,면목동,용마산,74.2,0,용마산역,99.1
560, 원묵고등학교,중랑구,서울특별시 중랑구 숙선옹주로 66 중랑구 묵동 20-3,37.61602402,127.085968,숙선옹주로,묵동,화랑대,462.4,0,원묵고등학교,57.8
561, 장안중학교,중랑구,서울특별시 중랑구 동일로 778 동일로 778,37.59995651,127.0800018,동일로,중화동,중화,294.6,1,마을금고,49.9
562, 중랑구청,중랑구,서울특별시 중랑구 봉화산로 179 중랑구 신내동 662-1,37.60615158,127.092598,봉화산로47길,신내동,망우,735.2,2,중랑구청,91.8
563, 중랑구청 사거리,중랑구,서울특별시 중랑구 봉화산로 194 중랑구 신내동 561,37.60649872,127.0954514,봉화산로52길,신내동,망우,832.3,2,중랑구청사거리,65.0
564, 중화역 2번출구,중랑구,서울특별시 중랑구 동일로 지하 797 중랑구 중화동 50-3,37.60207748,127.0795822,동일로136길,중화동,중화,59.0,0,지하철7호선중화역3번출구,62.5
565, 능산삼거리,중랑구,서울특별시 중랑구 용마산로 644 능산삼거리,37.60868073,127.1007919,용마산로,신내동,신내,513.6,0,능산사거리,113.2
566, 동원베네스트 건물 앞,중랑구,서울특별시 중랑구 용마산로 640,37.60810089,127.101181,용마산로128길,신내동,신내,560.8,0,능산사거리,88.7
567, 늘푸른공원 앞,중랑구,서울특별시 중랑구 동일로 594 늘푸른공원 앞,37.5834198,127.0799255,사가정로29길,면목동,사가정,805.8,0,늘푸른근린공원,42.8
568, 홈플러스 신내점 앞,중랑구,서울특별시 중랑구 신내로 지하 232 홈플러스 신내점 앞,37.61616898,127.093483,신내로17길,신내동,봉화산,221.5,2,신내7단지아파트홈플러스,68.6
569, 면목2동 사거리,중랑구,서울특별시 중랑구 동일로 628 하나은행,37.58637238,127.0800705,동일로,면목동,면목,700.7,0,하나은행면목지점,82.8
570, 신내능말공원,중랑구,서울특별시 중랑구 신내역로 165 신내 데시앙포레,37.61670685,127.11026,신내역로1길,신내동,신내,752.5,0,신내데시앙포레아파트정문앞,59.6
571, 중랑구 중소기업 창업센터,중랑구,서울특별시 중화동 50-8 (구)신한은행 중랑교지점,37.59859085,127.0798187,동일로,중화동,중화,441.6,0,국민은행중화동지점,28.1
572, 면목4치안센터,중랑구,서울특별시 면목동 646-4 면목4치안센터,37.57402802,127.0805435,면목로27길,면목동,용마산,547.9,0,면목119안전센터,79.4
573, 용마지구대,중랑구,서울특별시 면목동 197-5 용마지구대,37.5799408,127.0793991,동일로,면목동,사가정,808.9,0,면목신우아파트,36.8
574, 중랑전화국 교차로,중랑구,서울특별시 중랑구 면목동 282-8 중랑전화국 교차로,37.59130096,127.0803299,봉우재로20길,면목동,중랑,547.3,1,상봉2동복합청사.도서관,59.3
575, 면목역 3번출구,중랑구,서울특별시 면목동 120-2 면목역 3번출구,37.58890152,127.0872803,면목로73길,면목동,면목,40.8,1,지하철7호선면목역,25.8
576, 코스트코 상봉점,중랑구,서울특별시 상봉동 160-3 코스트코 상봉점,37.59732056,127.089798,망우로52길,상봉동,망우,309.8,2,지하철7호선상봉역,49.5
577, 상봉역 1번출구,중랑구,서울특별시 중랑구 망우로 297 상봉역 1번출구,37.59655762,127.0858383,면목로96길,상봉동,상봉,74.4,0,지하철7호선상봉역,124.5
578, 화랑대역 7번출구,중랑구,서울특별시 중랑구 묵동 6-3,37.61963654,127.0850449,화랑로,묵동,화랑대,56.9,0,지하철6호선화랑대역,75.8
579, 중랑세무서,중랑구,서울특별시 중랑구 망우로 176 중랑세무서,37.59275818,127.07267,중랑천로12길,상봉동,중랑,387.3,0,서울우유앞,73.3
580, 겸재교 진입부,중랑구,서울특별시 중랑구 겸재로 68 겸재교진입부,37.58565521,127.0750504,사가정로,면목동,중랑,1032.3,0,면목5동,73.1
581, 중랑캠핑숲,중랑구,서울특별시 중랑구 송림길 172 중랑캠핑숲,37.60460281,127.1092529,망우로87길,망우동,양원,251.2,0,서울특별시북부병원,58.9
582, 한국전력공사(동대문 중랑지사),중랑구,서울특별시 중랑구 동일로 862 한국전력공사(동대문 중랑지사),37.6073494,127.0785904,동일로152길,묵동,먹골,372.8,0,한국전력동대문중랑지사,42.3
583, 상봉역 2번 출구,중랑구,서울특별시 중랑구 망우로 297 상봉역 2번 출구,37.59632874,127.0858994,면목로96길,상봉동,상봉,76.7,0,지하철7호선상봉역,123.3
584, 상아빌딩(우림시장 교차로),중랑구,서울특별시 중랑구 용마산로 494 상아빌딩(우림시장 교차로),37.59511185,127.1003265,용마공원로,망우동,망우,891.7,0,우림시장,76.4
585, 동원사거리,중랑구,서울특별시 중랑구 겸재로 229 동원사거리,37.58975983,127.0932388,상봉로11길,면목동,면목,523.3,0,동원시장,73.2
586, 상봉터미널2,중랑구,서울특별시 중랑구 용마산로115길 127 용마산로115길 127,37.59733963,127.0930862,망우로,망우동,망우,266.4,0,상봉터미널,97.1
587, 용마한신아파트사거리,중랑구,서울특별시 중랑구 용마산로 313 용마한신아파트사거리,37.58034897,127.0926514,사가정로,면목동,사가정,373.6,0,용마산교차로,38.5
588,동양엔파트 앞,중랑구,서울특별시 중랑구 망우로 203 중화동주상복합,37.593853,127.0750732,망우로,중화동,중랑,149.8,0,중랑역동부시장1,20.2
589,동부시장 북문 앞,중랑구,서울특별시 중랑구 망우로 214 우도빌딩,37.59386826,127.0765228,망우로32길,상봉동,중랑,121.8,1,중랑역.동부시장1,23.4
590,중랑구민회관,중랑구,서울특별시 중랑구 면목로 238 중랑구민회관,37.57407761,127.0850067,면목로,면목동,용마산,159.3,0,북부운수차고지,50.5
591,중화역 4번출구,중랑구,서울특별시 중랑구 동일로 815,37.60305405,127.0790024,동일로,중화동,중화,61.0,0,지하철7호선중화역,47.0
592,중랑공영차고지 옆,중랑구,서울특별시 중랑구 신내동 63-8,37.61314774,127.1051483,신내역로1가길,신내동,신내,172.9,0,중랑공영차고지삼거리,41.8
593,두산대림아파트 삼거리,중랑구,서울특별시 중랑구 신내로23길 9 묵동근생빌딩,37.61882401,127.0875702,숙선옹주로,묵동,화랑대,289.2,0,태릉고등학교.원묵초등학교,65.9
594,sk신내 주유소앞(용마산로),중랑구,서울특별시 중랑구 신내동 353-2,37.61362076,127.1011505,신내로18길,신내동,신내,199.9,0,중랑공영차고지,77.1
595,먹골역 7번 출구,중랑구,서울특별시 중랑구 동일로 901 먹골역,37.6114769,127.0773926,동일로161길,묵동,먹골,97.7,0,묵1동주민센터입구.먹골역,65.4
596,먹골역 4번출구,중랑구,서울특별시 중랑구 동일로 890,37.60982132,127.0781326,동일로,묵동,먹골,97.4,1,먹골역,50.9
597,중화동 우리은행 앞,중랑구,서울특별시 중랑구 동일로 837 우리은행,37.60520172,127.0785828,동일로,중화동,중화,300.9,0,한국전력동대문중랑지사,95.2
598,동양쇼핑 정류소 앞,중랑구,서울특별시 중랑구 묵동 190-2,37.61535263,127.0784912,숙선옹주로,묵동,태릉입구,416.9,1,동양쇼핑,7.3
599,영성빌딩(PAT),중랑구,서울특별시 중랑구 동일로 824 신성빌딩,37.60408401,127.0792313,동일로138길,중화동,중화,170.8,0,지하철7호선중화역,139.0
600,중랑역 1번 출구(중화문화복지센터),중랑구,서울특별시 중랑구 중화동 321-129,37.59489059,127.0749512,중랑역로3길,중화동,중랑,102.9,0,중랑역동부시장1,117.2
601,서울중랑우체국,중랑구,서울특별시 중랑구 망우로 271 서울중랑우체국,37.59581375,127.08284,망우로,상봉동,상봉,202.9,0,상봉역.중랑우체국,16.6
602,면목삼익아파트 앞,중랑구,서울특별시 중랑구 동일로 501 면목삼익아파트,37.57598495,127.0796051,동일로,면목동,용마산,680.5,0,경남아너스빌아파트앞,145.5
603,홈플러스 상봉점 앞,중랑구,서울특별시 중랑구 상봉동 500-1,37.59832764,127.0922699,망우로55길,상봉동,망우,139.4,0,망우역,46.9
604,면목 홈플러스 2,중랑구,서울특별시 중랑구 사가정로 326 중랑구 실향민협의회,37.58105469,127.0820923,사가정로42길,면목동,사가정,564.3,1,사가정센트럴아이파크아파트,31.8
605, 용마지구대 옆,중랑구,서울특별시 중랑구 동일로 566 중랑경찰서용마지구대,37.58111191,127.080101,동일로,면목동,사가정,740.3,0,면목신우아파트,59.0
606, 새우개마을,중랑구,서울특별시 중랑구 신내동278-50,37.61571121,127.1010437,용마산로139가길,신내동,신내,367.6,0,신내능마을,132.3
607, 상봉2동 주민센터 앞,중랑구,서울특별시 중랑구 상봉동 126-42,37.59268951,127.0802841,봉우재로19길,상봉동,중랑,443.4,1,상봉2동복합청사.도서관,92.6
608, 동서울농협 앞,중랑구,서울특별시 중랑구 망우로 290,37.59596252,127.0847778,면목로95길,상봉동,상봉,49.7,0,상봉역.중랑우체국,91.3
609, 라코지스테이 앞,중랑구,서울특별시 중랑구 망우로232,37.59432602,127.0784607,망우로,상봉동,중랑,217.2,0,중랑역.동부시장1,155.3
610, 신내2동 주민센터 앞,중랑구,서울특별시 중랑구 봉화산로 190,37.60641098,127.0940476,봉화산로50길,신내동,망우,784.6,2,중랑구청,32.7
611," 동성1,2차 아파트 앞",중랑구,서울특별시 중랑구 신내로 126 동성아파트,37.61022568,127.096283,봉화산로53길,신내동,신내,679.8,0,신내9단지아파트,46.1
612, 한양수자인아파트 앞,중랑구,서울특별시 중랑구 면목동 1085-1,37.58032227,127.0941544,사가정로72길,면목동,사가정,505.4,0,면중초등학교,117.9
613, 묵동 이마트 앞,중랑구,서울특별시 중랑구 묵동 170-45,37.6132164,127.0773468,동일로,묵동,먹골,288.2,1,먹골역.묵동자이아파트,47.2
614, 망우지구대,중랑구,서울특별시 중랑구 망우로 400,37.59877777,127.0963898,용마산로115길,망우동,망우,404.9,2,망우지구대,56.3
615, 중랑데시앙플렉스 앞,중랑구,서울 중랑구 신내역로3길 40-36,37.61755371,127.1039963,경춘북로,신내동,신내,522.5,0,새우개마을,95.2
616, 면목동 새싹어린이공원 앞,중랑구,서울특별시 중랑구 동일로92길 57,37.58333206,127.0835495,사가정로39길,면목동,사가정,512.6,0,녹색병원입구,92.1
617, 망우역 2번 출구,중랑구,서울특별시 중랑구 중랑구 망우로55길 11-10(상봉동),37.60025406,127.091713,상봉중앙로1다길,상봉동,망우,80.0,0,망우역,193.3
618, 방정환교육지원센터 옆,중랑구,서울특별시 중랑구 중랑구 망우로 325(상봉동),37.59780884,127.0884476,동일로120길,상봉동,상봉,341.7,0,지하철7호선상봉역,56.8
619, 신내동 벽산아파트 후문 앞,중랑구,서울특별시 중랑구 용마산로125길 50 벽산아파트,37.6030426,127.100502,용마산로122길,신내동,양원,763.5,0,이화미디어고.중랑숲어린이도서관,143.9
620, 신내동 한살림 중랑지구 앞,중랑구,서울특별시 중랑구 신내동 574-1,37.60428619,127.0973663,신내로10길,신내동,망우,713.1,1,신내초등학교,100.4
621, 신내동 한살림 중랑지구 북축,중랑구,서울특별시 중랑구 신내동 574-1,37.60446167,127.0974121,용마산로125가길,신내동,망우,730.3,1,신내초등학교,81.3
622, 상봉신협 앞,중랑구,서울특별시 중랑구 봉우재로41길 6 청운명가프라임,37.59354401,127.0897903,봉우재로,상봉동,면목,586.9,0,상봉신협,22.2
623, 홈플러스 면목점,중랑구,서울특별시 중랑구 동일로 540,37.57984543,127.0824204,사가정로42길,면목동,사가정,547.6,1,면목두산아파트2.3단지,23.0
624, 신내SK V1센터 앞,중랑구,서울특별시 중랑구 중랑구 신내역로 111,37.6127243,127.11306,구리포천고속도로,신내동,양원,818.4,0,신내SKV1센터,205.3
625, 용마복지센터 앞,중랑구,서울특별시 중랑구 중랑구 용마산로 393,37.58686447,127.0953217,용마산로,면목동,면목,716.3,0,용마문화복지센터,21.7
626, 망우동 본죽 앞,중랑구,서울특별시 중랑구 망우로 467,37.60064316,127.1040497,망우로,망우동,양원,743.3,3,금란교회,12.7
627, 양원역 1번 출구,중랑구,서울특별시 중랑구 망우동 253-18,37.60655212,127.1070862,양원역로14나길,망우동,양원,72.6,0,양원역,51.8
628, 양원지구 힐데스하임 앞,중랑구,서울특별시 중랑구 봉화산로 301,37.60924149,127.1062088,용마산로136가길,망우동,양원,329.7,0,양원리,33.0
629,동원사거리 행복오피스텔 앞,중랑구,서울특별시 중랑구 겸재로 240 행복오피스텔,37.58973694,127.0941925,겸재로,면목동,면목,604.6,0,동원시장,90.8
630, 서울시 북부병원 앞,중랑구,서울특별시 중랑구 양원역로 38 서울시북부병원 및 시립중랑노인전문요양원,37.60405731,127.107254,양원역로8길,망우동,양원,287.6,1,서울특별시북부병원,10.4
631, 신내 우디안 111동 앞,중랑구,서울특별시 중랑구 신내역로1길 85 신내우디안1단지,37.61727142,127.1085434,신내역로1길,신내동,신내,676.7,0,새솔초등학교,7.8
632,중화수경공원,중랑구,중랑구 중화동 381-3,37.60318375,127.0741348,중랑천로,중화동,중화,458.4,0,중화2동체육공원,315.5
633, 한성대입구역6번출구 뒤,성북구,서울특별시 성북구 동소문로 1 한성대입구역6번출구 뒤,37.58876419,127.0063095,성북로2길,동소문동1가,한성대입구,34.9,0,삼선교역2번출구,50.2
634, 돈암초교 입구,성북구,서울특별시 성북구 동소문로13길 38 돈암초교,37.59169388,127.012497,동소문로,동소문동4가,성신여대입구,360.1,0,돈암초등학교,19.6
635, 만해공원,성북구,서울특별시 성북구 성북로 132-1 만해공원,37.59440231,126.9923096,성북로29길,성북동,한성대입구,1394.6,0,서울다원학교.한용운활동터,54.5
636, 성북구청,성북구,서울특별시 성북구 보문로 168 성북구청,37.58932877,127.0164337,삼선교로24길,삼선동5가,성신여대입구,365.7,1,성북구청.성북경찰서,106.7
637, 한성대입구역2번출구,성북구,서울특별시 성북구 동소문로 2 성북구 동소문동2가 2-3,37.58844757,127.0067062,동소문로,동소문동2가,한성대입구,42.9,0,삼선교역2번출구,12.2
638, 안암로터리 버스정류장 앞,성북구,서울특별시 성북구 안암로 69 안암로터리 버스정류장,37.58259201,127.0289764,안암로9가길,안암동5가,안암,408.4,0,안암오거리,3.4
639, 정릉꿈에그린1단지 201동 앞,성북구,서울특별시 성북구 아리랑로19길 20 성북구 정릉동 966-62,37.60243988,127.0116882,아리랑로19길,정릉동,정릉,164.0,0,아리랑시장,17.1
640, 고려사대부속중고 정문,성북구,서울특별시 성북구 보국문로29길 23 성북구 정릉동 966-1,37.60776138,127.0032806,정릉로,정릉동,북한산보국문,657.9,1,북악중학교,53.1
641, 고려사대부속중고 건너편,성북구,서울특별시 성북구 보국문로29길 23 성북구 정릉동 966-1,37.60726166,127.0028381,정릉로12길,정릉동,북한산보국문,725.6,0,북악중학교,15.1
642, 길음역 3번출구 뒤,성북구,서울특별시 성북구 동소문로 248 동소문로248,37.60308456,127.0247879,삼양로,길음동,길음,42.8,0,길음뉴타운,81.3
643, 종암사거리 분수대,성북구,서울특별시 성북구 종암로 147 성북구 하월곡동 104-134,37.6030426,127.0332718,화랑로,종암동,길음,726.9,1,KT월곡지사,81.9
644, 국민은행 종암동지점 앞,성북구,서울특별시 성북구 종암로3길 37-2 성북구 종암동 12-33,37.59328842,127.0366669,종암로,종암동,고려대,310.3,1,서울사대부설고등학교,111.8
645, 래미안라센트아파트 103동 앞,성북구,서울특별시 성북구 종암로3길 37-2 성북구 종암동 12-33,37.59806824,127.0392761,월곡로7길,종암동,월곡,473.9,0,일신초교.래미안라센트아파트,48.1
646, 월곡역 입구 육교 밑,성북구,서울특별시 성북구 월곡로 지하 107 성북구 종암동 113-10,37.60043335,127.0402069,월곡로13길,종암동,월곡,204.1,1,월곡래미안루나밸리,102.0
647, 상월곡역 4번출구,성북구,서울특별시 성북구 화랑로 148 성북구 상월곡동 산7-1,37.60580826,127.0477371,화랑로17길,상월곡동,상월곡,91.7,1,한국과학기술연구원입구,43.6
648, 상월곡역 1번출구,성북구,서울특별시 성북구 화랑로 지하 157 성북구 상월곡동 35-9,37.60606766,127.0473175,화랑로17길,상월곡동,상월곡,109.2,0,월곡중학교,50.4
649, 상월곡역 3번출구,성북구,서울특별시 성북구 화랑로 지하 157 성북구 상월곡동 26-1,37.60734177,127.0506821,화랑로22길,상월곡동,상월곡,221.1,0,월곡중학교,93.3
650, 월곡역 3번출구,성북구,서울특별시 성북구 월곡로 지하 107 성북구 하월곡동 37-4,37.6026268,127.0416336,화랑로11길,하월곡동,월곡,76.0,0,월곡역,60.0
651, 석계역 5번출구 건너편,성북구,서울특별시 노원구 화랑로 지하 347-1 성북구 석관동 134-4,37.61355591,127.0660934,한천로66길,석관동,석계,140.3,1,석계역,61.7
652, 석관초등학교 앞,성북구,서울특별시 성북구 돌곶이로22길 21 성북구 석관동 202-3,37.61052322,127.0597992,돌곶이로22길,석관동,돌곶이,297.4,0,돌곶이역,152.8
653, 석관동주민센터 앞,성북구,서울특별시 성북구 화랑로 296 성북구 석관동 384-2,37.61299896,127.0613098,화랑로40길,석관동,석계,448.3,0,석관동주민센터,1.8
654, 성북3교 위,성북구,서울특별시 성북구 보문로 192 성북3교 위,37.59125137,127.0140076,보문로,삼선동4가,성신여대입구,260.7,0,삼선동주민센터,6.6
655, 돈암성당 옆,성북구,서울특별시 성북구 인촌로7길 120 돈암성당 옆,37.59038162,127.0171356,고려대로7길,동선동2가,성신여대입구,257.2,0,성북구청,62.9
656, 용문2교 옆,성북구,서울특별시 성북구 인촌로7길 24 용문2교 옆,37.5868988,127.020752,보문로26길,안암동2가,보문,216.1,0,보문역,150.6
657, 삼성전자서비스 성북센터,성북구,서울특별시 성북구 월계로 28 삼성전자서비스 성북센터,37.610569,127.0335083,월계로,하월곡동,미아사거리,429.4,0,방천시장입구,43.9
658, 광운초등학교 앞,성북구,서울특별시 성북구 장위동 134-27,37.61784363,127.0550003,돌곶이로32길,장위동,돌곶이,820.7,0,남대문중학교,35.6
659, 성북쉼터 앞,성북구,서울특별시 성북구 성북로21길 32 성북쉼터 앞,37.59261703,126.9979324,혜화로,성북동,한성대입구,865.4,2,성북초교.성북선잠박물관,51.9
660, 한성대7번출구 앞,성북구,서울특별시 성북구 동소문로 11 한성대7번출구 앞,37.58924866,127.0073776,성북로2길,동소문동1가,한성대입구,134.7,0,삼선교,10.4
661, 아리랑시네센터 앞,성북구,서울특별시 성북구 아리랑로 82 아리랑시네센터 앞,37.60028839,127.0137024,아리랑로12길,돈암동,정릉,279.2,2,아리랑고개.아리랑시네미디어센터,20.3
662, 길음8골어린이공원 옆,성북구,서울특별시 성북구 길음로13길 22 길음8골어린이공원 옆,37.60897827,127.0202484,길음로,길음동,길음,749.9,2,현대아파트앞,7.4
663, 길음래미안아파트817동 상가 앞,성북구,서울특별시 성북구 길음로 33 길음래미안아파트817동 상가 앞,37.60710526,127.0214996,삼양로9길,길음동,길음,516.7,0,래미안609동앞,69.6
664, 성북제일새마을금고 본점 앞,성북구,서울특별시 성북구 길음로 20 성북제일새마을금고 본점 앞,37.60475159,127.0227585,길음로,길음동,길음,251.6,2,길음시장입구,13.6
665, 월계2교 버스정류장 앞,성북구,서울특별시 성북구 한천로101길 18 월계2교 버스정유장 앞,37.62382889,127.0502014,우이천동자전거길,장위동,광운대,1027.2,1,월계2교,6.1
666, 안암2교 옆,성북구,서울특별시 성북구 안암로 17 SK제삼주유소 앞,37.5794487,127.0241928,안암로5길,안암동4가,신설동,467.5,0,대광초교,79.1
667, e 편한세상 보문아파트 내,성북구,서울특별시 성북구 낙산길 255 e 편한세상 보문아파트 내,37.58388138,127.0170975,지봉로,보문동3가,보문,254.9,1,종로센트레빌후문.e편한세상보문아파트,232.9
668, 금호어울림센터힐 내,성북구,서울특별시 성북구 동소문로34길 73 금호어울림센터힐 내,37.60083008,127.0235519,동소문로,돈암동,길음,315.2,0,길음역,132.0
669, 고려대학교 2번출구,성북구,서울특별시 성북구 종암로 지하 1 고려대학교 2번출구,37.5907135,127.0361939,종암로,종암동,고려대,24.5,0,고려대역3번출구,38.9
670, 보문2교,성북구,서울특별시 성북구 보문로30길 29 보문2교,37.58869934,127.0189133,고려대로5길,안암동1가,보문,381.1,0,보문2교,43.9
671, 북한산보국문역,성북구,서울특별시 성북구 보국문로 91 북한산보국문역,37.61207199,127.0081329,보국문로,정릉동,북한산보국문,32.0,0,북한산보국문역1번출구,17.4
672, 정릉도서관 앞,성북구,서울특별시 성북구 보국문로 7-10 정릉도서관 앞,37.60478973,127.010582,정릉로26길,정릉동,정릉,338.8,1,정릉2동주민센터,48.2
673, 장위뉴타운 꿈에 숲 코오롱 하늘채 앞,성북구,서울특별시 성북구 월계로 172 장위뉴타운 꿈에 숲 코오롱 하늘채 앞,37.61980057,127.0450974,월계로,장위동,상월곡,1519.7,2,북서울꿈의숲,2.2
674, 정릉역,성북구,서울특별시 성북구 정릉로 272 정릉역,37.60309601,127.013504,정릉로,정릉동,정릉,33.1,0,정릉입구,11.5
675, 홍익중고 입구,성북구,서울특별시 성북구 성북동 142-1,37.59296799,127.0022354,성북로,성북동,한성대입구,611.9,0,홍익대부속중고등학교입구,70.8
676, 보문역6번출구 앞,성북구,서울특별시 성북구 보문로 112-2,37.58519745,127.0196686,고려대로,보문동1가,보문,27.2,0,보문역,62.1
677, 보문4교 인근,성북구,서울특별시 성북구 보문로22길 28 보문4교 인근,37.58375168,127.0219498,보문로22길,안암동3가,보문,283.7,0,보문동성당,167.2
678, 성북동 치안센터 앞,성북구,서울특별시 성북구 성북로 25 성북동 치안센터 앞,37.59017181,127.0040894,성북로7길,성북동1가,한성대입구,267.6,0,성북동주민센터.동구마케팅고,61.9
679, 선잠단지 앞,성북구,서울특별시 성북구 성북로 102-10 선잠단지 앞,37.5933609,126.9990921,성북로,성북동,한성대입구,832.2,1,성북초교.성북선잠박물관,56.3
680, 일신초등학교 옆,성북구,서울특별시 성북구 월곡로 74 일신초등학교 옆,37.59972,127.0403824,월곡로,종암동,월곡,266.8,1,월곡래미안루나밸리,74.5
681, 길음문화복합미디어센터,성북구,서울특별시 성북구 길음로7길 6 길음뉴타운9단지래미안 상가,37.60404587,127.0226593,길음로7길,길음동,길음,222.9,3,길음시장앞,83.8
682, 성신여대입구 교차로,성북구,서울특별시 성북구 보문로34길 87 성신여대입구 교차로,37.59148026,127.0201035,보문로34길,동선동3가,성신여대입구,350.6,0,성신여대정문앞,85.6
683, 복자사랑 피정의 집,성북구,서울특별시 성북구 성북로 132-4 복자사랑 피정의 집,37.59453964,126.9952087,성북로,성북동,한성대입구,1183.9,1,성북구립미술관.쌍다리앞,109.5
684, KEB은행 고대점,성북구,서울특별시 성북구 인촌로 113 KEB은행 고대점,37.58644485,127.031601,고려대로,안암동5가,안암,230.1,0,고대사거리,63.4
685, 성북구보건소 건너편,성북구,서울특별시 성북구 화랑로 63 성북구보건소 건너편,37.60229111,127.0389786,화랑로5길,종암동,월곡,227.5,1,성북구보건소,40.2
686, 생명의 전화 종합복지관 앞 교차로,성북구,서울특별시 성북구 오패산로 21 생명의 전화 종합복지관 앞 교차로,37.60390854,127.0373764,오패산로,하월곡동,월곡,425.6,0,생명의전화,34.0
687, 한국과학기술연구원 중문,성북구,서울특별시 성북구 화랑로14길 5 한국과학기술연구원 정문,37.59732056,127.043808,회기로5길,하월곡동,월곡,552.0,0,월곡2SH빌아파트,150.0
688, 한국과학기술연구원 북문,성북구,서울특별시 성북구 화랑로14길 5 한국과학기술연구원 후문,37.60395813,127.0453415,화랑로,하월곡동,상월곡,386.5,0,한국과학기술연구원입구,26.1
689,길음뉴타운푸르지오아파트 3단지,성북구,서울특별시 성북구 길음로13길 39 길음뉴타운,37.60935974,127.0181732,길음로13길,길음동,정릉,837.5,0,새생명교회,178.3
690,월곡역 5번출구 앞,성북구,서울특별시 성북구 하월곡동 96-248,37.60108566,127.0412369,월곡로14길,하월곡동,월곡,98.9,0,월곡역,65.3
691,석계역 4번출구 뒤,성북구,서울특별시 성북구 석관동 375-97,37.61478424,127.0670013,화랑로48길,석관동,석계,101.6,0,석계역,28.9
692,래미안월곡아파트 입구,성북구,서울특별시 성북구 하월곡동 225-5,37.60866547,127.0362701,오패산로,하월곡동,미아사거리,751.7,0,월곡삼성래미안아파트,86.6
693,성신여대입구역 5번출구,성북구,서울특별시 성북구 동소문동6가 140-5,37.59282684,127.0162888,아리랑로,동소문동6가,성신여대입구,24.7,4,4호선성신여대역,61.1
694,성신여대입구역 3번출구 앞,성북구,서울특별시 성북구 동소문로 98 제일은행,37.59236526,127.0162888,동소문로20길,동소문동5가,성신여대입구,30.4,4,4호선성신여대역,16.5
695,동선고가차도 초입,성북구,서울특별시 성북구 동소문로 130,37.59415817,127.0189667,동소문로25길,동선동1가,성신여대입구,283.3,1,돈암사거리.성신여대입구,87.0
696, 돈암초교입구 버스정류장(한성대입구역 방면),성북구,서울특별시 성북구 동소문동3가 66-1,37.59088135,127.0117035,보문로39길,동소문동3가,성신여대입구,457.9,0,돈암초교입구,31.2
697,석관래미안아트리치,성북구,서울특별시 성북구 석관동 323-2,37.60646057,127.0616226,돌곶이로,석관동,돌곶이,644.1,0,한국예술종합학교,92.1
698,성북청소년센터,성북구,서울특별시 성북구 장위동 322-8,37.61701202,127.0561676,장위로,장위동,돌곶이,719.0,0,우리랜드사우나,33.9
699,돈암삼성풍림아파트,성북구,서울특별시 성북구 돈암동 632-6,37.5970993,127.0226288,동소문로32길,돈암동,길음,732.1,0,풍림아파트,61.1
700,돈암육교 하단,성북구,서울특별시 성북구 돈암동 51-10,37.59802628,127.0214081,동소문로,돈암동,길음,678.4,1,미아리고개.미아리예술극장,38.3
