,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동,shortest_subway,shortest_subway_meter,public_place_in_100m,shortest_bus,shortest_bus_meter
34, 동묘앞역 1번출구 뒤,종로구,서울특별시 종로구 숭인동 81-39 동묘앞역 1번출구 뒤,37.57324219,127.0159073,종로56길,숭인동,동묘앞,82.4,2,동묘역.롯데캐슬,87.9
35, 청계8가 사거리,종로구,서울특별시 종로구 청계천로 407 청계8가 사거리,37.57222366,127.0227051,난계로25길,숭인동,신설동,400.8,0,청계8가.황학교,12.6
36, 신설동역 11번출구 뒤,종로구,서울특별시 종로구 종로 411-3 가로판매,37.57559204,127.02285,보문로1길,숭인동,신설동,200.3,1,신설동로터리,37.9
37, 창신역 1번출구 앞,종로구,서울특별시 종로구 지봉로 87 창신역 1번출구 앞,37.57933426,127.0150833,지봉로,창신동,창신,38.8,1,숭인1동주민센터.창신역4번출구,74.7
38, 독립문역 3-1번출구,종로구,서울특별시 종로구 무악동 41-7 독립문역 3번출구 뒤,37.57384872,126.9586945,통일로,무악동,독립문,115.8,0,독립문역,38.9
39, SK 서린빌딩 앞,종로구,서울특별시 종로구 서린동 93-2 SK 서린빌딩 앞,37.5692482,126.9805374,종로,서린동,종각,233.8,1,서린동.SK서린빌딩,23.8
40, 광화문 시민열린마당,종로구,서울특별시 종로구 세종로 76-5 광화문 시민열린마당,37.57549286,126.9785004,종로1길,세종로,광화문,521.5,0,경복궁,23.7
41, 종각역 5번출구,종로구,서울특별시 종로구 서린동 26-1 종각역 5번출구,37.56983566,126.9826584,청계천로,서린동,종각,43.0,1,종각역,54.7
42, 동성중학교 앞,종로구,서울특별시 종로구 혜화동 56 동성중학교 앞,37.58573532,127.0016098,혜화로2길,혜화동,혜화,377.9,0,혜화동로터리.여운형활동터,57.6
43, 동대문역 8번 출구,종로구,서울특별시 종로구 율곡로 지하 308 동대문역 8번출구,37.57014084,127.0093765,종로50다길,종로6가,동대문,145.7,0,동대문역JW메리어트동대문호텔,19.8
44, 경희궁 자이 3단지,종로구,서울특별시 종로구 경교장길 35 경희궁자이 3단지,37.56748962,126.9659195,통일로,평동,서대문,200.9,0,적십자병원후문앞,61.3
45, 경희궁 자이 2단지,종로구,서울특별시 종로구 송월길 99 경희궁 자이 3단지,37.56885529,126.9645615,통일로8길,송월동,서대문,388.3,0,경희궁자이2.3단지,44.2
46, 종묘공영주차장 건너편,종로구,서울특별시 종로구 종로 지하 200 종묘공영주차장 건너편,37.57048035,126.9966354,종로30길,종로4가,을지로4가,413.0,0,종로4가.종묘,15.4
47, 상명대입구,종로구,서울특별시 종로구 홍지문길 1 상명대 입구,37.60012817,126.9578323,세검정로,홍지동,홍제,1748.5,0,상명대입구,48.6
48, 신영동삼거리,종로구,서울특별시 종로구 진흥로 499 신영동 삼거리,37.60399246,126.9619446,진흥로,신영동,홍제,2308.7,0,세검초등학교,49.4
49, 일성아파트,종로구,서울특별시 종로구 평창문화로 119 일성아파트,37.60871887,126.9728622,평창문화로,평창동,경복궁,3658.3,0,일성아파트,13.1
50, 효자동 삼거리,종로구,서울특별시 종로구 효자로13길 45 종로구 궁정동 98-2,37.58360291,126.9725494,효자로13길,효자동,경복궁,874.6,0,청와대분수대앞,139.9
51, 청와대앞길,종로구,서울특별시 종로구 청와대로 73 종로구 세종로 1-54,37.58351517,126.9796677,삼청로7나길,팔판동,안국,933.0,0,춘추관앞,57.1
52, 동대문 종합시장 버스정류장,종로구,서울특별시 종로구 종로 239 동대문 종합시장 버스정류장,37.57123947,127.0044098,대학로2길,종로5가,종로5가,228.9,0,종로6가,9.9
53, 종로오가 지하쇼핑센터 14번출구,종로구,서울특별시 종로구 종로 지하 200 종로5가 지하쇼핑센터 14번출구,37.57114029,127.0006714,종로,종로5가,종로5가,106.7,0,종로5가,16.9
54, 종로2가 버스정류장 (종각방향),종로구,서울특별시 종로구 종로 79-1 종로2가 버스정류장 (종각방향),37.57035828,126.9863815,삼일대로,종로2가,종각,306.3,1,종로2가,1.9
55, 종로6가역 버스정류장(동대문 방향),종로구,서울특별시 종로구 종로 254-1 삼익한의원,37.570961,127.0060577,종로,종로5가,동대문,329.7,0,종로6가,13.2
56, 숭인2동 주민센터 입구,종로구,서울특별시 종로구 종로 383-1 숭인2동 주민센터 입구 (이강3대냉면),37.57447052,127.0198288,종로,숭인동,동묘앞,363.4,1,동묘앞,28.8
57, 종로꽃시장 입구 옆,종로구,서울특별시 종로구 율곡로 지하 308 종로?시장 입구 옆,37.57131958,127.0072098,종로43길,종로6가,동대문,224.2,2,동대문종합시장,95.8
58, 광화문역 5번출구,종로구,서울특별시 종로구 세종대로 152 일민미술관,37.56989288,126.9775696,종로,세종로,광화문,148.8,1,광화문,58.0
59, 서울지방경찰청,종로구,서울특별시 종로구 사직로8길 31 서울지방경찰청,37.57436371,126.9723663,사직로8길,내자동,경복궁,186.2,1,서울경찰청.경복궁역,171.9
60, 신영동삼거리(북악터널방향),종로구,서울특별시 종로구 평창문화로 6-4 신영동삼거리(북악터널방향),37.60351181,126.9620667,평창문화로,신영동,홍제,2278.4,0,세검초등학교,96.6
61, 삼청동 골목,종로구,서울특별시 종로구 팔판길 46 삼청동 골목,37.58419037,126.9816971,삼청로,삼청동,안국,917.8,0,삼청동주민센터,20.3
62, 삼청공원 앞,종로구,서울특별시 종로구 삼청동 25-32,37.58760452,126.9835968,북촌로,삼청동,안국,1245.7,1,삼청공원삼거리.옥호정터,164.9
