gid,lbl,val,geometry
다사473432,95.00,95.0,"POLYGON ((126.90388900111684 37.486541093734694, 126.90388183903765 37.48744241348202, 126.90501293716163 37.4874481153249, 126.90502008565318 37.486546795393004, 126.90388900111684 37.486541093734694))"
다사475460,198.00,198.0,"POLYGON ((126.9059512730262 37.511789396925245, 126.9059441292186 37.512690713148615, 126.90707560867975 37.51269639848565, 126.90708273888274 37.51179508207829, 126.9059512730262 37.511789396925245))"
다사473457,186.00,186.0,"POLYGON ((126.90370985340257 37.50907404570928, 126.90370268334388 37.50997536198076, 126.904834121356 37.50998106843947, 126.90484127781188 37.50907975198331, 126.90370985340257 37.50907404570928))"
다사465473,664.00,664.0,"POLYGON ((126.89454196867298 37.52344902521622, 126.89453468460313 37.5243503377721, 126.89566633776845 37.52435613392554, 126.89567360822593 37.5234548211821, 126.89454196867298 37.52344902521622))"
다사485447,369.00,369.0,"POLYGON ((126.91735701829835 37.500128613498084, 126.91735001459436 37.501029933352555, 126.9184813203893 37.50103550796418, 126.91848831049633 37.50013418792928, 126.91735701829835 37.500128613498084))"
다사498467,886.00,886.0,"POLYGON ((126.9319272443321 37.51822665317815, 126.93192041130473 37.519127972572086, 126.93305199316924 37.51913340986682, 126.93305881258739 37.518232090296905, 126.9319272443321 37.51822665317815))"
다사474447,80.00,80.0,"POLYGON ((126.90491282484182 37.50006657977442, 126.90490567157279 37.50096789762097, 126.90603697390286 37.500973591399706, 126.90604411357513 37.500072273368865, 126.90491282484182 37.50006657977442))"
다사461471,51.00,51.0,"POLYGON ((126.89003008976948 37.52162310891125, 126.89002275190404 37.5225244209916, 126.89115437654387 37.522530260136456, 126.89116170079821 37.52162894786714, 126.89003008976948 37.52162310891125))"
다사464449,1054.00,1054.0,"POLYGON ((126.89358537633566 37.50181167984797, 126.8935780864506 37.50271299555418, 126.89470941276225 37.502718798041265, 126.8947166890495 37.50181748214726, 126.89358537633566 37.50181167984797))"
다사473443,247.00,247.0,"POLYGON ((126.90381020069822 37.496455603309016, 126.90380303510919 37.49735692152707, 126.90493428273736 37.49736262540059, 126.90494143473205 37.49646130699791, 126.90381020069822 37.496455603309016))"
다사470461,N/A,0.0,"POLYGON ((126.90028673669806 37.51266212389534, 126.90027952454624 37.5135634390544, 126.90141101601547 37.513569178766524, 126.90141821456213 37.51266786342169, 126.90028673669806 37.51266212389534))"
다사468477,420.00,420.0,"POLYGON ((126.897907913436 37.52707163222327, 126.89790066891261 37.52797294478441, 126.8990323775034 37.52797870915681, 126.89903960841195 37.527077396409155, 126.897907913436 37.52707163222327))"
다사471468,99.00,99.0,"POLYGON ((126.90136781800139 37.51897706791509, 126.90136061720989 37.51987838228643, 126.90249220425304 37.519884112458314, 126.90249939143509 37.51898279790152, 126.90136781800139 37.51897706791509))"
다사497467,557.00,557.0,"POLYGON ((126.93079567638117 37.51822120521917, 126.93078882974461 37.51912252443678, 126.93192041130473 37.519127972572086, 126.9319272443321 37.51822665317815, 126.93079567638117 37.51822120521917))"
다사469437,165.00,165.0,"POLYGON ((126.89932858080473 37.49102477246177, 126.89932136276781 37.49192609077209, 126.90045252755921 37.49193183685707, 126.90045973200553 37.49103051836076, 126.89932858080473 37.49102477246177))"
다사469445,117.00,117.0,"POLYGON ((126.89927082750663 37.498235315051055, 126.89926360689732 37.49913663224899, 126.9003948804355 37.49914237982214, 126.90040208744934 37.49824106243816, 126.89927082750663 37.498235315051055))"
다사466472,242.00,242.0,"POLYGON ((126.89568087835957 37.52255350829955, 126.89567360822593 37.5234548211821, 126.89680524810271 37.52346060630596, 126.89681250462458 37.52255929323622, 126.89568087835957 37.52255350829955))"
다사468478,309.00,309.0,"POLYGON ((126.89790066891261 37.52797294478441, 126.89789342406652 37.528874257206446, 126.89902514627278 37.52888002176539, 126.8990323775034 37.52797870915681, 126.89790066891261 37.52797294478441))"
다사499467,N/A,0.0,"POLYGON ((126.93305881258739 37.518232090296905, 126.93305199316924 37.51913340986682, 126.9341835753375 37.51913883632099, 126.93419038114642 37.51823751657549, 126.93305881258739 37.518232090296905))"
다사476442,13.00,13.0,"POLYGON ((126.90721102824344 37.49557136297109, 126.90720390375475 37.49647268188099, 126.90833513874239 37.49647835307515, 126.90834224963731 37.49557703398168, 126.90721102824344 37.49557136297109))"
다사468458,133.00,133.0,"POLYGON ((126.89804549808603 37.509946667135154, 126.89803825969119 37.510847982338866, 126.8991697097037 37.510853743168, 126.8991769344952 37.50995242777784, 126.89804549808603 37.509946667135154))"
다사469479,602.00,602.0,"POLYGON ((126.89902514627278 37.52888002176539, 126.89901791472002 37.529781334234876, 126.90014965086444 37.52978708813586, 126.90015686880113 37.528885775480184, 126.89902514627278 37.52888002176539))"
다사468437,209.00,209.0,"POLYGON ((126.89819742992542 37.49101901573338, 126.8981901982979 37.491920333857344, 126.89932136276781 37.49192609077209, 126.89932858080473 37.49102477246177, 126.89819742992542 37.49101901573338))"
다사481452,110.00,110.0,"POLYGON ((126.91279655903058 37.50461280169881, 126.91278949936707 37.50551412013301, 126.91392087190387 37.505519738987516, 126.9139279179675 37.50461842037146, 126.91279655903058 37.50461280169881))"
다사475478,359.00,359.0,"POLYGON ((126.90582263579107 37.52801306767129, 126.90581548625342 37.52891438139169, 126.90694721070173 37.528920070041416, 126.90695434662383 37.52801875613695, 126.90582263579107 37.52801306767129))"
다사462469,393.00,393.0,"POLYGON ((126.8911763483282 37.519826322911186, 126.89116902472631 37.52072763545872, 126.89230062247077 37.52073346338475, 126.89230793246274 37.51983215064861, 126.8911763483282 37.519826322911186))"
다사477468,405.00,405.0,"POLYGON ((126.90815726339352 37.51901128522889, 126.9081501442588 37.51991260070759, 126.90928173321373 37.51991826583535, 126.90928883873892 37.519016950173324, 126.90815726339352 37.51901128522889))"
다사480453,323.00,323.0,"POLYGON ((126.91165812714472 37.505508490443376, 126.91165105356627 37.50640980855637, 126.9127824393891 37.50641543842821, 126.91278949936707 37.50551412013301, 126.91165812714472 37.505508490443376))"
다사475475,70.00,70.0,"POLYGON ((126.9058440824933 37.525309125675726, 126.90583693391099 37.5262104398133, 126.90696861751448 37.52621612791082, 126.90697575248305 37.525314813589176, 126.9058440824933 37.525309125675726))"
다사467471,377.00,377.0,"POLYGON ((126.89681976082322 37.521657980027385, 126.89681250462458 37.52255929323622, 126.89794413121282 37.52256506733119, 126.89795137380027 37.52166375393551, 126.89681976082322 37.521657980027385))"
다사482443,286.00,286.0,"POLYGON ((126.91399131841939 37.4965065465719, 126.91398427517973 37.49740786643896, 126.9151155256531 37.497413472824896, 126.91512255529832 37.496512152776376, 126.91399131841939 37.4965065465719))"
다사462476,N/A,0.0,"POLYGON ((126.89112507626382 37.52613550782254, 126.89111775037804 37.527036819396265, 126.89224944340874 37.52704264864258, 126.89225675568036 37.52614133688024, 126.89112507626382 37.52613550782254))"
다사471434,305.00,305.0,"POLYGON ((126.90161245417261 37.488332296550205, 126.90160526427772 37.48923361564928, 126.90273638894016 37.48923933951882, 126.90274356524623 37.488338020234465, 126.90161245417261 37.488332296550205))"
다사481460,338.00,338.0,"POLYGON ((126.91274007291698 37.51182334528013, 126.91273301073741 37.512724662602224, 126.9138644920951 37.51273028291176, 126.91387154066993 37.51182896540776, 126.91274007291698 37.51182334528013))"
다사473469,103.00,103.0,"POLYGON ((126.90362379161631 37.519889831789534, 126.90361661772414 37.520791146392334, 126.90474821901704 37.52079685506762, 126.90475537929915 37.51989554028008, 126.90362379161631 37.519889831789534))"
다사478445,437.00,437.0,"POLYGON ((126.909452178496 37.498286651574034, 126.90944508024643 37.499187970433674, 126.91057635665189 37.49919362051328, 126.91058344130589 37.498292301470755, 126.909452178496 37.498286651574034))"
다사460494,94.00,94.0,"POLYGON ((126.88872931223152 37.54234739740772, 126.88872195321939 37.54324870609861, 126.88985389075454 37.54325456044038, 126.88986123614164 37.54235325156007, 126.88872931223152 37.54234739740772))"
다사476458,307.00,307.0,"POLYGON ((126.90709699833593 37.509992448846425, 126.90708986876811 37.51089376553187, 126.90822132133816 37.510899439663724, 126.90822843730254 37.50999812279464, 126.90709699833593 37.509992448846425))"
다사469458,686.00,686.0,"POLYGON ((126.8991769344952 37.50995242777784, 126.8991697097037 37.510853743168, 126.90030116003803 37.51085949316002, 126.90030837122619 37.50995817758376, 126.8991769344952 37.50995242777784))"
다사466489,510.00,510.0,"POLYGON ((126.89555724203451 37.537875808384435, 126.89554996639347 37.538777118902125, 126.89668183776324 37.53878290720919, 126.89668909978222 37.537881596504214, 126.89555724203451 37.537875808384435))"
다사484450,392.00,392.0,"POLYGON ((126.91620467357201 37.50282698683792, 126.91619765533343 37.50372830609464, 126.91732900161072 37.50373389208206, 126.9173360062506 37.50283257264455, 126.91620467357201 37.50282698683792))"
다사476480,603.00,603.0,"POLYGON ((126.90694007446176 37.52982138380684, 126.9069329379039 37.530722697433184, 126.90806468990301 37.530728375606174, 126.9080718128441 37.52982706179609, 126.90694007446176 37.52982138380684))"
다사467445,117.00,117.0,"POLYGON ((126.89700830858662 37.498223787780184, 126.89700106078642 37.49912510460499, 126.89813233368076 37.49913087384328, 126.89813956788554 37.49822955683172, 126.89700830858662 37.498223787780184))"
다사490458,115.00,115.0,"POLYGON ((126.92293717249046 37.510070897964475, 126.92293023337221 37.51097221718895, 126.92406169032466 37.510977739599106, 126.92406861583927 37.510076420195915, 126.92293717249046 37.510070897964475))"
다사495476,172.00,172.0,"POLYGON ((126.92847066567636 37.526322141553294, 126.92846378906518 37.52722345916651, 126.92959549252461 37.52722893057617, 126.92960235552113 37.52632761278592, 126.92847066567636 37.526322141553294))"
다사465486,336.00,336.0,"POLYGON ((126.89444725045222 37.535166077592116, 126.89443996216312 37.53606738833954, 126.8955717923444 37.536073186931695, 126.89557906701324 37.53517187599664, 126.89444725045222 37.535166077592116))"
다사475455,95.00,95.0,"POLYGON ((126.9059869872917 37.507282813722746, 126.90597984507491 37.508184130641325, 126.9071112565189 37.50818981505841, 126.9071183851341 37.50728849795586, 126.9059869872917 37.507282813722746))"
다사482455,281.00,281.0,"POLYGON ((126.91390677883507 37.50732237580264, 126.91389973182984 37.50822369400168, 126.91503114548382 37.50822930256559, 126.91503817888734 37.50732798418502, 126.91390677883507 37.50732237580264))"
다사465490,284.00,284.0,"POLYGON ((126.8944180953478 37.53877131974709, 126.89441080575995 37.539672629938046, 126.8955426904283 37.53967842928072, 126.89554996639347 37.538777118902125, 126.8944180953478 37.53877131974709))"
다사469475,297.00,297.0,"POLYGON ((126.89905406926277 37.52527477049656, 126.8990468389984 37.526176083522394, 126.9001785206822 37.52618183667866, 126.90018573733295 37.525280523466655, 126.89905406926277 37.52527477049656))"
다사474443,346.00,346.0,"POLYGON ((126.90494143473205 37.49646130699791, 126.90493428273736 37.49736262540059, 126.90606553068406 37.49736831844218, 126.90607266908442 37.49646699985523, 126.90494143473205 37.49646130699791))"
다사477479,513.00,513.0,"POLYGON ((126.9080789354679 37.52892574784694, 126.9080718128441 37.52982706179609, 126.90920355154375 37.529832728940775, 126.90921066055137 37.52893141480825, 126.9080789354679 37.52892574784694))"
다사479458,125.00,125.0,"POLYGON ((126.91049131618601 37.51000943818051, 126.91048422742857 37.510910755415814, 126.91161568094769 37.51091639703603, 126.91162275610165 37.51001507961813, 126.91049131618601 37.51000943818051))"
다사469483,526.00,526.0,"POLYGON ((126.8989962181289 37.53248527080875, 126.8989889852875 37.53338658272186, 126.90012077590225 37.53339233736762, 126.90012799512515 37.53249102526832, 126.8989962181289 37.53248527080875))"
다사478449,210.00,210.0,"POLYGON ((126.90942378360062 37.50189192617852, 126.90941668408624 37.5027932444821, 126.91054801488019 37.50279889529327, 126.91055510079651 37.50189757680679, 126.90942378360062 37.50189192617852))"
다사473454,729.00,729.0,"POLYGON ((126.90373136166252 37.50637009606054, 126.90372419256187 37.507271412749176, 126.90485558976744 37.507277118653846, 126.9048627452671 37.50637580178054, 126.90373136166252 37.50637009606054))"
다사467447,16.00,16.0,"POLYGON ((126.89699381266341 37.500026421290755, 126.89698656421754 37.50092773783744, 126.89811786430457 37.500933507449204, 126.89812509915377 37.500032190715764, 126.89699381266341 37.500026421290755))"
다사456468,485.00,485.0,"POLYGON ((126.88439425532357 37.518889817287324, 126.88438685039247 37.51979112883505, 126.88551843256069 37.519797021615744, 126.88552582388257 37.51889570987731, 126.88439425532357 37.518889817287324))"
다사479445,423.00,423.0,"POLYGON ((126.91058344130589 37.498292301470755, 126.91057635665189 37.49919362051328, 126.91170763337294 37.499199259760225, 126.91171470443132 37.49829794053516, 126.91058344130589 37.498292301470755))"
다사486464,664.00,664.0,"POLYGON ((126.91836943632279 37.51545660962045, 126.91836244092079 37.51635792729252, 126.9194939782675 37.516363494132804, 126.9195009600623 37.51546217628058, 126.91836943632279 37.51545660962045))"
다사464454,43.00,43.0,"POLYGON ((126.8935489236631 37.50631825698816, 126.89354163215438 37.50721957199895, 126.89467302646415 37.50722537542514, 126.89468030437206 37.50632406022652, 126.8935489236631 37.50631825698816))"
다사471450,367.00,367.0,"POLYGON ((126.90149737741702 37.502753385450895, 126.90149018239647 37.503654702325335, 126.90262152456263 37.50366042916005, 126.90262870598465 37.502759112100264, 126.90149737741702 37.502753385450895))"
다사478462,207.00,207.0,"POLYGON ((126.90933146524421 37.51360905328133, 126.90932436161776 37.51451036977758, 126.91045586924108 37.51451602296681, 126.91046295926164 37.513614706287605, 126.90933146524421 37.51360905328133))"
다사500469,164.00,164.0,"POLYGON ((126.93417676922543 37.52004015592755, 126.93416996281017 37.520941475395155, 126.93530157250191 37.52094689135929, 126.93530836530672 37.52004557171641, 126.93417676922543 37.52004015592755))"
다사483446,195.00,195.0,"POLYGON ((126.91510146542335 37.49921611250497, 126.91509443483878 37.5001174321365, 126.91622572641228 37.50012302823383, 126.9162327434006 37.499221708421146, 126.91510146542335 37.49921611250497))"
다사456474,318.00,318.0,"POLYGON ((126.884349820789 37.52429768448659, 126.8843424138786 37.52519899519946, 126.88547407771473 37.525204889124424, 126.8854814710123 37.524303578220824, 126.884349820789 37.52429768448659))"
다사484461,140.00,140.0,"POLYGON ((126.91612745575175 37.512741491016946, 126.91612043407368 37.51364280874467, 126.9172519299768 37.513648396721166, 126.9172589380495 37.512747078812595, 126.91612745575175 37.512741491016946))"
다사491460,55.00,55.0,"POLYGON ((126.92405476450155 37.511879058863336, 126.92404783836996 37.512780377988584, 126.92517932284002 37.51278588991818, 126.92518623536674 37.51188457061455, 126.92405476450155 37.511879058863336))"
다사490455,20.00,20.0,"POLYGON ((126.92295798799087 37.50736693945723, 126.9229510497998 37.50826825909862, 126.92408246594312 37.50827378097261, 126.92408939053237 37.5073724611525, 126.92295798799087 37.50736693945723))"
다사480471,N/A,0.0,"POLYGON ((126.91153075451437 37.5217321952069, 126.91152367526233 37.522633510817435, 126.9126553059973 37.52263914396987, 126.91266237163795 37.521737828177045, 126.91153075451437 37.5217321952069))"
다사479461,233.00,233.0,"POLYGON ((126.91047004896639 37.512713389469354, 126.91046295926164 37.513614706287605, 126.91159445359487 37.5136203484556, 126.91160152969432 37.512719031454765, 126.91047004896639 37.512713389469354))"
다사470471,242.00,242.0,"POLYGON ((126.90021460072157 37.521675269227785, 126.90020738535654 37.52257658299612, 126.90133901291081 37.522582324566045, 126.90134621466461 37.52168101061192, 126.90021460072157 37.521675269227785))"
다사484457,306.00,306.0,"POLYGON ((126.91615553933664 37.50913621871602, 126.91614851890951 37.51003753699976, 126.91727996039477 37.51004312425288, 126.91728696721894 37.509141805788325, 126.91615553933664 37.50913621871602))"
다사476460,272.00,272.0,"POLYGON ((126.90708273888274 37.51179508207829, 126.90707560867975 37.51269639848565, 126.90820708845851 37.5127020729848, 126.90821420505682 37.51180075639378, 126.90708273888274 37.51179508207829))"
다사489469,577.00,577.0,"POLYGON ((126.92172923247418 37.51997986675117, 126.92172227634482 37.520881184267694, 126.92285388266815 37.520886719485326, 126.9228608251872 37.51998540178968, 126.92172923247418 37.51997986675117))"
다사471447,30.00,30.0,"POLYGON ((126.9015189605559 37.50004943399331, 126.90151176649672 37.50095075128489, 126.90264306786914 37.50095647756355, 126.9026502483316 37.50005516008664, 126.9015189605559 37.50004943399331))"
다사466481,536.00,536.0,"POLYGON ((126.89561543549713 37.53066531923472, 126.89560816244837 37.53156663086532, 126.89673992485844 37.53157241767425, 126.89674718428996 37.53067110585639, 126.89561543549713 37.53066531923472))"
다사468448,59.00,59.0,"POLYGON ((126.89811786430457 37.500933507449204, 126.8981106291331 37.501834824043584, 126.89924194313964 37.50184058300849, 126.89924916471384 37.500939266227704, 126.89811786430457 37.500933507449204))"
다사474467,133.00,133.0,"POLYGON ((126.90476969890658 37.51809291028782, 126.90476253926232 37.51899422535347, 126.9058941136546 37.518999922818956, 126.90590125969 37.518098607568916, 126.90476969890658 37.51809291028782))"
다사483464,222.00,222.0,"POLYGON ((126.91497486697628 37.515439844605886, 126.91496783075266 37.516341161735376, 126.91609936716276 37.5163467610938, 126.91610638977917 37.5154454437831, 126.91497486697628 37.515439844605886))"
