,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동,shortest_subway,shortest_subway_meter,public_place_in_100m,shortest_bus,shortest_bus_meter,public_transport_in_100m,subway_count_in_100m,bus_count_in_100m,schools_in_100m,unis_in_100m,total_schools_in_100m,public_places_and_schools_in_100m,대여소_ID,borrow_count,return_count,balance_rate,borrow_count_weekday,borrow_count_weekend,return_count_weekday,return_count_weekend
21, 예일빌딩(율곡로) 앞,종로구,서울특별시 종로구 충신동 60,37.57561111,127.0046997,율곡로,충신동,종로5가,577.8,0,충신시장,94.0,1,0,1,0,0,0,0,ST-159,10235,10077,0.0077786530129972,8050,2185,7933,2144
22, 성균관대 E하우스 앞,종로구,서울특별시 종로구 율곡로 259 성균관대 E하우스 앞,37.57403564,127.0067215,율곡로,충신동,동대문,394.5,0,충신동,39.1,2,0,2,0,0,0,0,ST-160,24201,23791,0.0085430905150858,18962,5239,18657,5134
23, 서울보증보험본사 앞,종로구,서울특별시 종로구 김상옥로 29 서울보증보험본사 앞,37.57330704,127.0007095,종로31가길,연지동,종로5가,282.8,1,종로5가.효제초등학교,135.4,0,0,0,0,0,0,1,ST-161,26515,26336,0.0033868800968761,22883,3632,22589,3747
24, 독립문역 사거리,종로구,서울특별시 종로구 교북동 10-1 독립문역 사거리,37.57202911,126.9607849,통일로,교북동,독립문,389.3,1,교남동주민센터,45.8,3,0,3,0,0,0,1,ST-183,24482,18273,0.145222780961291,19129,5353,13555,4718
25, 사직동주민센터,종로구,서울특별시 종로구 사직로9길 5 사직동주민센터,37.57633209,126.9685898,사직로9가길,사직동,경복궁,441.0,1,사직동주민센터,30.4,2,0,2,0,0,0,1,ST-165,14455,13807,0.0229283136366853,10420,4035,9921,3886
26, 청운초교 앞 삼거리,종로구,서울특별시 종로구 청운동 108-22 청운초교 앞 삼거리,37.58507919,126.9706192,자하문로28길,청운동,경복궁,1065.6,0,경복고교,37.7,2,0,2,0,0,0,0,ST-167,13483,12696,0.0300622636464341,10467,3016,9766,2930
27, 중앙고입구 삼거리,종로구,서울특별시 종로구 창덕궁길 191 중앙고입구 삼거리,37.58341599,126.9852371,창덕궁길,가회동,안국,770.4,0,사우디대사관,49.7,4,0,4,0,0,0,0,ST-168,6227,3392,0.2947291818276328,4543,1684,2346,1046
28, 재동초교 앞 삼거리,종로구,서울특별시 종로구 재동 19 재동초교 앞 삼거리,37.57938766,126.9849472,북촌로5길,재동,안국,326.0,1,아름다운가게.정독도서관,54.6,4,0,4,1,0,1,2,ST-169,20419,20512,-0.0022721164887249,14601,5818,14554,5958
29, 포르투갈 대사관 앞,종로구,서울특별시 종로구 창덕궁1길 3 포르투갈 대사관 앞,37.57915497,126.9889603,창덕궁1길,원서동,안국,430.0,1,볼링장,89.2,1,0,1,0,0,0,1,ST-170,20283,14291,0.173309423266038,15574,4709,10752,3539
30, 서울사대부속초교 앞,종로구,서울특별시 종로구 연건동 178-3 서울사대부속초교 앞,37.57650757,127.0024567,율곡로,연건동,종로5가,621.8,0,이화사거리,39.6,5,0,5,0,0,0,0,ST-171,25852,25667,0.003590908208622,20846,5006,20785,4882
31, KT혜화지사 앞,종로구,서울특별시 종로구 대학로 65 KT혜화지사 앞,37.57714462,127.0020599,율곡로,연건동,혜화,576.5,0,이화사거리,22.3,3,0,3,0,0,0,0,ST-172,21932,22325,-0.0088799511941613,17245,4687,17446,4879
32, 성대입구 사거리,종로구,서울특별시 종로구 창경궁로 234 성대입구 사거리,37.58250046,126.9985352,창경궁로,명륜4가,혜화,292.8,0,명륜3가.성대입구,25.6,2,0,2,0,0,0,0,ST-173,20559,20363,0.0047895997263085,14823,5736,14553,5810
33, 원남동사거리,종로구,서울특별시 종로구 율곡로 169 원남동사거리,37.57606125,126.9976807,창경궁로22길,원남동,종로5가,678.6,0,원남로터리,24.6,3,0,3,0,0,0,0,ST-174,23156,23690,-0.0113990522136361,19130,4026,19383,4307
34, 동묘앞역 1번출구 뒤,종로구,서울특별시 종로구 숭인동 81-39 동묘앞역 1번출구 뒤,37.57324219,127.0159073,종로56길,숭인동,동묘앞,82.4,2,동묘역.롯데캐슬,87.9,6,2,4,0,0,0,2,ST-175,67627,69035,-0.0103027908270038,50523,17104,51449,17586
35, 청계8가 사거리,종로구,서울특별시 종로구 청계천로 407 청계8가 사거리,37.57222366,127.0227051,난계로25길,숭인동,신설동,400.8,0,청계8가.황학교,12.6,2,0,2,0,0,0,0,ST-176,40926,41496,-0.0069156293222683,30608,10318,31222,10274
36, 신설동역 11번출구 뒤,종로구,서울특별시 종로구 종로 411-3 가로판매,37.57559204,127.02285,보문로1길,숭인동,신설동,200.3,1,신설동로터리,37.9,4,0,4,0,0,0,1,ST-177,39053,39374,-0.0040929781835337,28822,10231,28909,10465
37, 창신역 1번출구 앞,종로구,서울특별시 종로구 지봉로 87 창신역 1번출구 앞,37.57933426,127.0150833,지봉로,창신동,창신,38.8,1,숭인1동주민센터.창신역4번출구,74.7,2,1,1,0,0,0,1,ST-178,9410,8268,0.064600067880982,7077,2333,6326,1942
38, 독립문역 3-1번출구,종로구,서울특별시 종로구 무악동 41-7 독립문역 3번출구 뒤,37.57384872,126.9586945,통일로,무악동,독립문,115.8,0,독립문역,38.9,3,0,3,0,0,0,0,ST-180,26271,20446,0.1246869447952565,20904,5367,16030,4416
39, SK 서린빌딩 앞,종로구,서울특별시 종로구 서린동 93-2 SK 서린빌딩 앞,37.5692482,126.9805374,종로,서린동,종각,233.8,1,서린동.SK서린빌딩,23.8,3,0,3,0,0,0,1,ST-181,32275,34931,-0.0395202809272981,26394,5881,29037,5894
40, 광화문 시민열린마당,종로구,서울특별시 종로구 세종로 76-5 광화문 시민열린마당,37.57549286,126.9785004,종로1길,세종로,광화문,521.5,0,경복궁,23.7,1,0,1,0,0,0,0,ST-182,26354,22149,0.0866956683091767,21227,5127,17943,4206
41, 종각역 5번출구,종로구,서울특별시 종로구 서린동 26-1 종각역 5번출구,37.56983566,126.9826584,청계천로,서린동,종각,43.0,1,종각역,54.7,3,1,2,0,0,0,1,ST-336,30700,30194,0.0083095214635267,24905,5795,24565,5629
42, 동성중학교 앞,종로구,서울특별시 종로구 혜화동 56 동성중학교 앞,37.58573532,127.0016098,혜화로2길,혜화동,혜화,377.9,0,혜화동로터리.여운형활동터,57.6,5,0,5,0,0,0,0,ST-444,9701,9439,0.0136886102403343,7166,2535,6861,2578
43, 동대문역 8번 출구,종로구,서울특별시 종로구 율곡로 지하 308 동대문역 8번출구,37.57014084,127.0093765,종로50다길,종로6가,동대문,145.7,0,동대문역JW메리어트동대문호텔,19.8,2,0,2,0,0,0,0,ST-1372,51902,51830,0.0006940963251455,44479,7423,44208,7622
44, 경희궁 자이 3단지,종로구,서울특별시 종로구 경교장길 35 경희궁자이 3단지,37.56748962,126.9659195,통일로,평동,서대문,200.9,0,적십자병원후문앞,61.3,3,0,3,0,1,1,1,ST-1373,21127,20873,0.006047619047619,17972,3155,17725,3148
45, 경희궁 자이 2단지,종로구,서울특별시 종로구 송월길 99 경희궁 자이 3단지,37.56885529,126.9645615,통일로8길,송월동,서대문,388.3,0,경희궁자이2.3단지,44.2,4,0,4,0,0,0,0,ST-1374,22026,21594,0.0099037138927097,17232,4794,16763,4831
46, 종묘공영주차장 건너편,종로구,서울특별시 종로구 종로 지하 200 종묘공영주차장 건너편,37.57048035,126.9966354,종로30길,종로4가,을지로4가,413.0,0,종로4가.종묘,15.4,3,0,3,0,0,0,0,ST-1432,8818,8343,0.0276790396830021,6405,2413,6052,2291
47, 상명대입구,종로구,서울특별시 종로구 홍지문길 1 상명대 입구,37.60012817,126.9578323,세검정로,홍지동,홍제,1748.5,0,상명대입구,48.6,3,0,3,0,0,0,0,ST-938,13090,12294,0.0313583359596596,9526,3564,8795,3499
48, 신영동삼거리,종로구,서울특별시 종로구 진흥로 499 신영동 삼거리,37.60399246,126.9619446,진흥로,신영동,홍제,2308.7,0,세검초등학교,49.4,1,0,1,0,0,0,0,ST-939,2035,1786,0.065166186862078,1525,510,1330,456
49, 일성아파트,종로구,서울특별시 종로구 평창문화로 119 일성아파트,37.60871887,126.9728622,평창문화로,평창동,경복궁,3658.3,0,일성아파트,13.1,3,0,3,0,0,0,0,ST-941,7322,2389,0.507980640510761,5574,1748,1822,567
50, 효자동 삼거리,종로구,서울특별시 종로구 효자로13길 45 종로구 궁정동 98-2,37.58360291,126.9725494,효자로13길,효자동,경복궁,874.6,0,청와대분수대앞,139.9,0,0,0,0,0,0,0,ST-978,19597,14635,0.1449520916101893,13810,5787,9880,4755
51, 청와대앞길,종로구,서울특별시 종로구 청와대로 73 종로구 세종로 1-54,37.58351517,126.9796677,삼청로7나길,팔판동,안국,933.0,0,춘추관앞,57.1,2,0,2,0,0,0,0,ST-979,6070,4041,0.2006725348630204,4144,1926,2626,1415
