"아이디","새주소 아이디","시설 아이디","시설명","위도","경도","건물군여부","시설용도분류","소재지 도로명주소","소재지 지번주소","기타","국가지점번호","데이터 기준일자"
"2780","","P0650","남강공원","37.47349","126.924675","","FU_BI","서울특별시 관악구 난곡로34길 80","서울특별시 관악구 신림동 627-1","","다사 4912 4174","2022-12-07 00:00:00.0"
"2781","","P0651","약수공원","37.47317","126.91247","","FU_BI","서울특별시 관악구 미성10길 6","서울특별시 관악구 신림동 1684-1","","다사 4804 4171","2022-12-07 00:00:00.0"
"2787","","P0657","신화공원","37.47671","126.93568","","FU_BI","서울특별시 관악구 신림로39길 17","서울특별시 관악구 신림동 408-11","","다사 5010 4209","2022-12-07 00:00:00.0"
"2788","","P0658","남부창의어린이공원","37.48497","126.92056","","FU_BI","서울특별시 관악구 남부순환로163가길 20","서울특별시 관악구 신림동 483-14","","다사 4877 4301","2022-12-07 00:00:00.0"
"2790","","P0660","보명공원","37.47555","126.925644","","FU_BI","서울특별시 관악구 법원단지36길 20","서울특별시 관악구 신림동 610-307","","다사 4921 4196","2022-12-07 00:00:00.0"
"2792","","P0662","난우공원","37.466454","126.92189","","FU_BI","서울특별시 관악구 난곡로16길 22","서울특별시 관악구 신림동 661-80","","다사 4887 4096","2022-12-07 00:00:00.0"
"2793","","P0663","오성공원","37.46794","126.92083","","FU_BI","서울특별시 관악구 난곡로18길 13-2","서울특별시 관악구 신림동 655-34","","다사 4878 4112","2022-12-07 00:00:00.0"
"2794","","P0664","미도공원","37.462845","126.91528","","FU_BI","서울특별시 관악구 난향15길 33-4","서울특별시 관악구 신림동 675-212","","다사 4829 4056","2022-12-07 00:00:00.0"
"2795","","P0665","신라공원","37.473587","126.91263","","FU_BI","서울특별시 관악구 미성8길 29","서울특별시 관악구 신림동 744-17","","다사 4806 4175","2022-12-07 00:00:00.0"
"1437","","B1437","강산메디칼프라자","37.50313","126.86258","","FU_BA","서울특별시 구로구 중앙로 60","서울특별시 구로구 고척동 50-71","","다사 4366 4506","2022-12-07 00:00:00.0"
"1444","","B1444","셈프레팜","37.46978","126.89762","","FU_BA","서울특별시 금천구 시흥대로 403","서울특별시 금천구 독산동 289-8","","다사 4673 4134","2022-12-07 00:00:00.0"
"1461","","B1461","벽산상가","37.63492","127.0657","","FU_BA","서울특별시 노원구 섬밭로 229","서울특별시 노원구 하계동 271-3","","다사 6168 5958","2022-12-07 00:00:00.0"
"1475","","B1475","삼성홈실버타운","37.682224","127.04779","","FU_BA","서울특별시 도봉구 도봉로180길 46","서울특별시 도봉구 도봉동 62-40","","다사 6012 6483","2022-12-07 00:00:00.0"
"2796","","P0666","대협공원","37.474823","126.9134","","FU_BI","서울특별시 관악구 문성로16나길 25","서울특별시 관악구 신림동 1717","","다사 4813 4189","2022-12-07 00:00:00.0"
