Unnamed: 0,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동,shortest_subway,shortest_subway_meter,public_place_in_100m
539, 극동늘푸른아파트,중랑구,서울특별시 중랑구 동일로 941 중랑구 묵동 189-2,37.61473846,127.0763626,동일로,묵동,태릉입구,376.4,0
540, 금란주차장 앞,중랑구,서울특별시 중랑구 망우로 448 금란주차장 앞,37.60007095,127.1023331,용마산로116길,망우동,양원,875.6,0
541, 중화빌딩 앞 (동부시장),중랑구,서울특별시 중랑구 망우로 211 중화빌딩,37.59424973,127.0765762,중랑역로,중화동,중랑,84.5,1
542, 동일로 지하차도,중랑구,서울특별시 중랑구 망우로 233 중랑구 중화동 211-3,37.59529877,127.0800324,동일로,중화동,중랑,348.5,0
543, 망우역 1번출구,중랑구,서울특별시 중랑구 망우로55길 11-10 망우역 1번출구,37.59909821,127.0929489,망우로55길,상봉동,망우,104.6,1
544, 망우청소년수련관,중랑구,서울특별시 중랑구 송림길 156 망우청소년수련관,37.60625076,127.1082687,양원역로10길,망우동,양원,49.9,0
545, 먹골역 1번출구 뒤,중랑구,서울특별시 중랑구 공릉로 12 중랑구 묵동 189-4,37.61151123,127.0778885,공릉로,묵동,먹골,98.1,0
546, 먹골역 6번출구 앞,중랑구,서울특별시 중랑구 동일로 지하 901 먹골역 6번출구 앞,37.61072159,127.0774765,동일로159길,묵동,먹골,23.9,0
547, 면목 대원칸타빌아파트,중랑구,서울특별시 중랑구 용마산로 285 581 번지,37.57778168,127.0901871,면목로40길,면목동,사가정,377.0,0
548, 상봉시장앞 교차로 한성빌딩 앞,중랑구,서울특별시 중랑구 면목로 456 중랑구 면목동 282-4,37.59254074,127.0867386,봉우재로,면목동,면목,444.9,0
549, 봉화산역 5번출구 뒤,중랑구,서울특별시 중랑구 신내로 지하 232 봉화산역 5번출구 뒤,37.61756134,127.0903091,신내로17길,묵동,봉화산,101.2,0
550, 사가정역 2번출구,중랑구,서울특별시 중랑구 면목로 325,37.58098984,127.0882416,면목로45길,면목동,사가정,23.4,2
551, 상봉역 3번출구,중랑구,서울특별시 중랑구 면목로 480 중랑구 상봉동 160-22,37.59521866,127.0859985,면목로94길,상봉동,상봉,152.9,0
552, 새솔초등학교,중랑구,서울특별시 중랑구 신내역로1길 164 새솔초등학교,37.61743927,127.1090164,신내역로1길,신내동,신내,719.3,0
553, 신내어울공원 앞,중랑구,서울특별시 중랑구 신내로16길 33 신내동 의료안심주택,37.61394501,127.097702,신내로18길,신내동,신내,501.0,0
554, 신내역 4번출구,중랑구,서울특별시 중랑구 신내로 지하 232 신내역 4번출구,37.61246109,127.1033783,용마산로136길,망우동,신내,49.3,0
555, 신내우디안아파트 1단지,중랑구,서울특별시 중랑구 신내역로 213 신내우디안아파트 1단지,37.62009811,127.1064606,용마산로139나길,신내동,신내,850.0,0
556, 양원역 2번출구,중랑구,서울특별시 중랑구 송림길 147 양원역 2번출구,37.6063118,127.1077423,양원역로,망우동,양원,34.7,0
557, 용마문화복지센터,중랑구,서울특별시 중랑구 용마산로86길 9-27 용마문화복지센터,37.58745956,127.0959702,용마산로86길,면목동,면목,758.1,0
558, 면목도시개발아파트 1동 앞,중랑구,서울특별시 중랑구 용마산로 지하 227 면목도시개발아파트 1동 앞,37.57358932,127.0868225,용마산로45길,면목동,용마산,10.6,0
559, 용마산역 1번출구,중랑구,서울특별시 중랑구 용마산로 지하 227 중랑구 면목동 1381,37.57429886,127.0869141,면목로28길,면목동,용마산,74.2,0
560, 원묵고등학교,중랑구,서울특별시 중랑구 숙선옹주로 66 중랑구 묵동 20-3,37.61602402,127.085968,숙선옹주로,묵동,화랑대,462.4,0
561, 장안중학교,중랑구,서울특별시 중랑구 동일로 778 동일로 778,37.59995651,127.0800018,동일로,중화동,중화,294.6,1
562, 중랑구청,중랑구,서울특별시 중랑구 봉화산로 179 중랑구 신내동 662-1,37.60615158,127.092598,봉화산로47길,신내동,망우,735.2,2
563, 중랑구청 사거리,중랑구,서울특별시 중랑구 봉화산로 194 중랑구 신내동 561,37.60649872,127.0954514,봉화산로52길,신내동,망우,832.3,2
564, 중화역 2번출구,중랑구,서울특별시 중랑구 동일로 지하 797 중랑구 중화동 50-3,37.60207748,127.0795822,동일로136길,중화동,중화,59.0,0
565, 능산삼거리,중랑구,서울특별시 중랑구 용마산로 644 능산삼거리,37.60868073,127.1007919,용마산로,신내동,신내,513.6,0
566, 동원베네스트 건물 앞,중랑구,서울특별시 중랑구 용마산로 640,37.60810089,127.101181,용마산로128길,신내동,신내,560.8,0
567, 늘푸른공원 앞,중랑구,서울특별시 중랑구 동일로 594 늘푸른공원 앞,37.5834198,127.0799255,사가정로29길,면목동,사가정,805.8,0
568, 홈플러스 신내점 앞,중랑구,서울특별시 중랑구 신내로 지하 232 홈플러스 신내점 앞,37.61616898,127.093483,신내로17길,신내동,봉화산,221.5,2
569, 면목2동 사거리,중랑구,서울특별시 중랑구 동일로 628 하나은행,37.58637238,127.0800705,동일로,면목동,면목,700.7,0
