,Unnamed: 0,Unnamed: 0.1,No,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동,shortest_subway,shortest_subway_meter,public_place_in_100m,shortest_bus,shortest_bus_meter,public_transport_in_100m,schools_in_100m,unis_in_100m,total_schools_in_100m,public_places_and_schools_in_100m,대여소_ID,borrow_count,return_count,balance_rate
1275,23,23,23, 서울보증보험본사 앞,종로구,서울특별시 종로구 김상옥로 29 서울보증보험본사 앞,37.57330704,127.0007095,종로31가길,연지동,종로5가,282.8,1,종로5가.효제초등학교,135.4,0,0,0,0,1,ST-161,29354,29141,-0.0036413368663988374
275,24,24,24, 독립문역 사거리,종로구,서울특별시 종로구 교북동 10-1 독립문역 사거리,37.57202911,126.9607849,통일로,교북동,독립문,389.3,1,교남동주민센터,45.8,3,0,0,0,1,ST-183,26914,20206,-0.14235993208828523
817,25,25,25, 사직동주민센터,종로구,서울특별시 종로구 사직로9길 5 사직동주민센터,37.57633209,126.9685898,사직로9가길,사직동,경복궁,441.0,1,사직동주민센터,30.4,2,0,0,0,1,ST-165,16072,15324,-0.023824691043445024
760,26,26,26, 청운초교 앞 삼거리,종로구,서울특별시 종로구 청운동 108-22 청운초교 앞 삼거리,37.58507919,126.9706192,자하문로28길,청운동,경복궁,1065.6,0,경복고교,37.7,2,0,0,0,0,ST-167,14828,14033,-0.027545823083053256
118,27,27,27, 중앙고입구 삼거리,종로구,서울특별시 종로구 창덕궁길 191 중앙고입구 삼거리,37.58341599,126.9852371,창덕궁길,가회동,안국,770.4,0,사우디대사관,49.7,4,0,0,0,0,ST-168,7266,3867,-0.3053085421719213
1552,28,28,28, 재동초교 앞 삼거리,종로구,서울특별시 종로구 재동 19 재동초교 앞 삼거리,37.57938766,126.9849472,북촌로5길,재동,안국,326.0,1,아름다운가게.정독도서관,54.6,4,1,0,1,2,ST-169,22556,22697,0.0031158155260424722
225,29,29,29, 포르투갈 대사관 앞,종로구,서울특별시 종로구 창덕궁1길 3 포르투갈 대사관 앞,37.57915497,126.9889603,창덕궁1길,원서동,안국,430.0,1,볼링장,89.2,1,0,0,0,1,ST-170,22745,15940,-0.17590797466718366
1377,30,30,30, 서울사대부속초교 앞,종로구,서울특별시 종로구 연건동 178-3 서울사대부속초교 앞,37.57650757,127.0024567,율곡로,연건동,종로5가,621.8,0,이화사거리,39.6,5,0,0,0,0,ST-171,28852,28803,-0.0008498829242910415
1826,31,31,31, KT혜화지사 앞,종로구,서울특별시 종로구 대학로 65 KT혜화지사 앞,37.57714462,127.0020599,율곡로,연건동,혜화,576.5,0,이화사거리,22.3,3,0,0,0,0,ST-172,24300,24783,0.009840474298637002
1232,32,32,32, 성대입구 사거리,종로구,서울특별시 종로구 창경궁로 234 성대입구 사거리,37.58250046,126.9985352,창경궁로,명륜4가,혜화,292.8,0,명륜3가.성대입구,25.6,2,0,0,0,0,ST-173,22800,22591,-0.0046044370029300966
1871,33,33,33, 원남동사거리,종로구,서울특별시 종로구 율곡로 169 원남동사거리,37.57606125,126.9976807,창경궁로22길,원남동,종로5가,678.6,0,원남로터리,24.6,3,0,0,0,0,ST-174,25488,26073,0.011345784604643043
1887,34,34,34, 동묘앞역 1번출구 뒤,종로구,서울특별시 종로구 숭인동 81-39 동묘앞역 1번출구 뒤,37.57324219,127.0159073,종로56길,숭인동,동묘앞,82.4,2,동묘역.롯데캐슬,87.9,6,0,0,0,2,ST-175,74255,76038,0.011863493309734985
1705,35,35,35, 청계8가 사거리,종로구,서울특별시 종로구 청계천로 407 청계8가 사거리,37.57222366,127.0227051,난계로25길,숭인동,신설동,400.8,0,청계8가.황학교,12.6,2,0,0,0,0,ST-176,45048,45644,0.006571693203369647
1624,36,36,36, 신설동역 11번출구 뒤,종로구,서울특별시 종로구 종로 411-3 가로판매,37.57559204,127.02285,보문로1길,숭인동,신설동,200.3,1,신설동로터리,37.9,4,0,0,0,1,ST-177,42968,43374,0.004702230664103218
460,37,37,37, 창신역 1번출구 앞,종로구,서울특별시 종로구 지봉로 87 창신역 1번출구 앞,37.57933426,127.0150833,지봉로,창신동,창신,38.8,1,숭인1동주민센터.창신역4번출구,74.7,2,0,0,0,1,ST-178,10672,9200,-0.07407407407407407
308,38,38,38, 독립문역 3-1번출구,종로구,서울특별시 종로구 무악동 41-7 독립문역 3번출구 뒤,37.57384872,126.9586945,통일로,무악동,독립문,115.8,0,독립문역,38.9,3,0,0,0,0,ST-180,28636,22444,-0.12122161315583399
2416,39,39,39, SK 서린빌딩 앞,종로구,서울특별시 종로구 서린동 93-2 SK 서린빌딩 앞,37.5692482,126.9805374,종로,서린동,종각,233.8,1,서린동.SK서린빌딩,23.8,3,0,0,0,1,ST-181,35374,38328,0.040080323464763506
403,40,40,40, 광화문 시민열린마당,종로구,서울특별시 종로구 세종로 76-5 광화문 시민열린마당,37.57549286,126.9785004,종로1길,세종로,광화문,521.5,0,경복궁,23.7,1,0,0,0,0,ST-182,29013,24407,-0.08622238861849495
1143,41,41,41, 종각역 5번출구,종로구,서울특별시 종로구 서린동 26-1 종각역 5번출구,37.56983566,126.9826584,청계천로,서린동,종각,43.0,1,종각역,54.7,3,0,0,0,1,ST-336,33591,33080,-0.00766450180738252
1003,42,42,42, 동성중학교 앞,종로구,서울특별시 종로구 혜화동 56 동성중학교 앞,37.58573532,127.0016098,혜화로2길,혜화동,혜화,377.9,0,혜화동로터리.여운형활동터,57.6,5,0,0,0,0,ST-444,10776,10500,-0.012972363226170333
1485,43,43,43, 동대문역 8번 출구,종로구,서울특별시 종로구 율곡로 지하 308 동대문역 8번출구,37.57014084,127.0093765,종로50다길,종로6가,동대문,145.7,0,동대문역JW메리어트동대문호텔,19.8,2,0,0,0,0,ST-1372,57408,57579,0.0014871246314800803
1394,44,44,44, 경희궁 자이 3단지,종로구,서울특별시 종로구 경교장길 35 경희궁자이 3단지,37.56748962,126.9659195,통일로,평동,서대문,200.9,0,적십자병원후문앞,61.3,3,0,1,1,1,ST-1373,23091,23068,-0.0004982776923243571
1225,45,45,45, 경희궁 자이 2단지,종로구,서울특별시 종로구 송월길 99 경희궁 자이 3단지,37.56885529,126.9645615,통일로8길,송월동,서대문,388.3,0,경희궁자이2.3단지,44.2,4,0,0,0,0,ST-1374,24108,23878,-0.004793064643854457
771,46,46,46, 종묘공영주차장 건너편,종로구,서울특별시 종로구 종로 지하 200 종묘공영주차장 건너편,37.57048035,126.9966354,종로30길,종로4가,을지로4가,413.0,0,종로4가.종묘,15.4,3,0,0,0,0,ST-1432,9627,9120,-0.027044327092334775
764,47,47,47, 상명대입구,종로구,서울특별시 종로구 홍지문길 1 상명대 입구,37.60012817,126.9578323,세검정로,홍지동,홍제,1748.5,0,상명대입구,48.6,3,0,0,0,0,ST-938,14121,13368,-0.027392775291934957
499,48,48,48, 신영동삼거리,종로구,서울특별시 종로구 진흥로 499 신영동 삼거리,37.60399246,126.9619446,진흥로,신영동,홍제,2308.7,0,세검초등학교,49.4,1,0,0,0,0,ST-939,2184,1910,-0.06692721055202736
42,49,49,49, 일성아파트,종로구,서울특별시 종로구 평창문화로 119 일성아파트,37.60871887,126.9728622,평창문화로,평창동,경복궁,3658.3,0,일성아파트,13.1,3,0,0,0,0,ST-941,8007,2685,-0.49775533108866443
272,50,50,50, 효자동 삼거리,종로구,서울특별시 종로구 효자로13길 45 종로구 궁정동 98-2,37.58360291,126.9725494,효자로13길,효자동,경복궁,874.6,0,청와대분수대앞,139.9,0,0,0,0,0,ST-978,20387,15272,-0.14344204829075408
187,51,51,51, 청와대앞길,종로구,서울특별시 종로구 청와대로 73 종로구 세종로 1-54,37.58351517,126.9796677,삼청로7나길,팔판동,안국,933.0,0,춘추관앞,57.1,2,0,0,0,0,ST-979,6468,4269,-0.20480581167924
864,52,52,52, 동대문 종합시장 버스정류장,종로구,서울특별시 종로구 종로 239 동대문 종합시장 버스정류장,37.57123947,127.0044098,대학로2길,종로5가,종로5가,228.9,0,종로6가,9.9,5,0,0,0,0,ST-1605,14998,14399,-0.02037622886689118
1416,53,53,53, 종로오가 지하쇼핑센터 14번출구,종로구,서울특별시 종로구 종로 지하 200 종로5가 지하쇼핑센터 14번출구,37.57114029,127.0006714,종로,종로5가,종로5가,106.7,0,종로5가,16.9,4,0,0,0,0,ST-1606,25755,25753,-3.8828919779451735e-05
1374,54,54,54, 종로2가 버스정류장 (종각방향),종로구,서울특별시 종로구 종로 79-1 종로2가 버스정류장 (종각방향),37.57035828,126.9863815,삼일대로,종로2가,종각,306.3,1,종로2가,1.9,7,0,0,0,1,ST-1607,26025,25978,-0.0009037940118839298
1524,55,55,55, 종로6가역 버스정류장(동대문 방향),종로구,서울특별시 종로구 종로 254-1 삼익한의원,37.570961,127.0060577,종로,종로5가,동대문,329.7,0,종로6가,13.2,4,0,0,0,0,ST-1608,23029,23135,0.002296161511134217
1698,56,56,56, 숭인2동 주민센터 입구,종로구,서울특별시 종로구 종로 383-1 숭인2동 주민센터 입구 (이강3대냉면),37.57447052,127.0198288,종로,숭인동,동묘앞,363.4,1,동묘앞,28.8,5,0,0,0,1,ST-1609,29176,29556,0.006470067424913165
1836,57,57,57, 종로꽃시장 입구 옆,종로구,서울특별시 종로구 율곡로 지하 308 종로?시장 입구 옆,37.57131958,127.0072098,종로43길,종로6가,동대문,224.2,2,동대문종합시장,95.8,1,0,0,0,2,ST-1610,21827,22280,0.0102704786088376
629,58,58,58, 광화문역 5번출구,종로구,서울특별시 종로구 세종대로 152 일민미술관,37.56989288,126.9775696,종로,세종로,광화문,148.8,1,광화문,58.0,2,0,0,0,1,ST-1611,64180,59029,-0.04180701085148
701,59,59,59, 서울지방경찰청,종로구,서울특별시 종로구 사직로8길 31 서울지방경찰청,37.57436371,126.9723663,사직로8길,내자동,경복궁,186.2,1,서울경찰청.경복궁역,171.9,0,0,0,0,1,ST-1619,25427,23813,-0.03277822908204712
776,60,60,60, 신영동삼거리(북악터널방향),종로구,서울특별시 종로구 평창문화로 6-4 신영동삼거리(북악터널방향),37.60351181,126.9620667,평창문화로,신영동,홍제,2278.4,0,세검초등학교,96.6,1,1,0,1,1,ST-1752,1974,1871,-0.026788036410923276
1041,61,61,61, 삼청동 골목,종로구,서울특별시 종로구 팔판길 46 삼청동 골목,37.58419037,126.9816971,삼청로,삼청동,안국,917.8,0,삼청동주민센터,20.3,2,0,0,0,0,ST-1756,20738,20270,-0.011412407335154116
144,62,62,62, 삼청공원 앞,종로구,서울특별시 종로구 삼청동 25-32,37.58760452,126.9835968,북촌로,삼청동,안국,1245.7,1,삼청공원삼거리.옥호정터,164.9,0,0,0,0,1,ST-1759,3578,2121,-0.255658887524127
339,63,63,63, 평창동주민센터 앞,종로구,서울특별시 종로구 평창문화로 65 평창동 주민센터,37.60627365,126.9683228,평창12길,평창동,무악재,3101.0,1,서울예술고등학교.평창동주민센터,82.4,1,1,0,1,2,ST-2019,4335,3471,-0.11068408916218293
840,64,64,64,창신두산아파트,종로구,서울특별시 종로구 지봉로5길 7 두산아파트,37.57376099,127.0139389,종로53길,창신동,동묘앞,253.4,0,동대문,118.0,0,0,0,0,0,ST-1798,4807,4603,-0.021679064824654624
861,65,65,65,이화공영주차장,종로구,서울특별시 종로구 이화동 13-2,37.57660675,127.0055695,율곡로19길,이화동,동대문,683.7,0,충신시장,181.5,0,0,0,0,0,ST-1799,10064,9660,-0.02048266071790712
114,66,66,66,서울특별시 교육청,종로구,서울특별시 종로구 송월길 48 서울특별시교육청,37.5695076,126.9670105,경교장길,신문로2가,서대문,415.8,0,서울시교육청,33.6,1,0,0,0,0,ST-1800,3892,2017,-0.3173125740396006
2183,67,67,67,서울특별시 중부교육지원청,종로구,서울특별시 종로구 대학로 8 수도빌딩,37.57185364,127.0023575,대학로2길,효제동,종로5가,112.3,0,종로5가.3번출구,53.7,2,0,0,0,0,ST-1801,3088,3232,0.02278481012658228
622,68,68,68,파크팰리스,종로구,서울특별시 종로구 사직로8길 20 경희궁 파크팰리스,37.57455063,126.9705505,사직로8길,내수동,경복궁,295.6,0,적선동,145.0,0,0,0,0,0,ST-1802,23118,21213,-0.04297218650605671
674,69,69,69,안국동사거리(신),종로구,서울특별시 종로구 안국동 175-92,37.57580566,126.9833908,인사동길,안국동,안국,196.0,0,인사동.북촌,37.3,4,0,0,0,0,ST-1804,35696,33258,-0.035356904603068715
1156,70,70,70,종로타워빌딩,종로구,서울특별시 종로구 공평동 70-4,37.57051086,126.9833679,우정국로,공평동,종각,55.3,0,종각.공평유적전시관,120.7,1,0,0,0,0,ST-1805,27485,27091,-0.007219290530636177
1807,71,71,71,종로3가역 8번출구,종로구,서울특별시 종로구 돈화문로10길 2,37.5724678,126.99189,돈화문로8길,묘동,종로3가,95.8,0,종로3가.1.3.5호선,156.9,3,0,0,0,0,ST-1807,54073,55079,0.009216505423629433
1679,72,72,72,종묘,종로구,서울특별시 종로구 종로 153-2 가로판매대,37.5707016,126.994812,돈화문로4길,종로3가,종로3가,283.9,0,종로4가.종묘,23.0,6,0,0,0,0,ST-1808,19330,19562,0.005965237066748946
1547,73,73,73,세운상가,종로구,서울특별시 종로구 종로 152,37.5703125,126.994545,돈화문로4길,종로3가,종로3가,281.4,0,종로4가.종묘,12.7,6,0,0,0,0,ST-1809,16666,16763,0.002901672200783751
