,Unnamed: 0,Unnamed: 0.1,No,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동,shortest_subway,shortest_subway_meter,public_place_in_100m,shortest_bus,shortest_bus_meter,public_transport_in_100m,schools_in_100m,unis_in_100m,total_schools_in_100m,public_places_and_schools_in_100m,대여소_ID,borrow_count,return_count,balance_rate
1869,331,331,331, 성동세무서 부근,성동구,서울특별시 성동구 광나루로 297 성동세무서,37.54829025,127.0624619,송정길,송정동,성수,706.8,0,성동세무서,17.4,2,0,0,0,0,ST-371,37772,38636,0.011307716469479636
1453,332,332,332, 마장역 4번출구,성동구,서울특별시 성동구 마장로 292-1 마장역 4번출구,37.56520462,127.0418472,마조로16길,마장동,마장,140.6,0,성동노인복지관,37.6,4,0,0,0,0,ST-372,24500,24530,0.0006118702834998981
1918,333,333,333, 경일중학교 앞,성동구,서울특별시 성동구 성수일로 27 경일중학교 앞,37.54317856,127.0490799,성수일로,성수동1가,뚝섬,469.6,0,경동초등학교입구,26.4,4,0,0,0,0,ST-375,38753,39748,0.012674997770729035
2359,334,334,334, 청계천 생태교실 앞,성동구,서울특별시 성동구 마장로39길 51 청계천 생태교실 앞,37.56797028,127.0468903,천호대로,마장동,신답,232.5,0,마장2교사거리,116.1,0,0,0,0,0,ST-376,62249,66726,0.034712153518123665
2034,335,335,335, 성수2가1동 공영주차장 인근,성동구,서울특별시 성동구 성수동2가 569-3 성수2가1동 공영주차장 인근,37.53680801,127.0554886,성수이로6길,성수동2가,성수,863.7,1,뚝도시장구길,46.8,2,0,0,0,1,ST-446,78548,81155,0.01632405152063518
1471,336,336,336, 마장동 주민센터,성동구,서울특별시 성동구 마장로42길 14 마장동 주민센터,37.56594086,127.0453949,마장로42길,마장동,마장,214.7,1,마장동주민센터,133.7,0,0,0,0,1,ST-447,19472,19516,0.0011285523750897712
2273,337,337,337, 유니베라 앞,성동구,서울특별시 성동구 성수동2가 276-5 KEB하나은행 성수중앙지점,37.54541779,127.0526428,연무장5길,성수동2가,성수,307.6,1,성수역1번출구,87.5,2,0,0,0,1,ST-482,45414,48070,0.028411278935432802
1818,338,338,338, 성수역3번출구,성동구,서울특별시 성동구 아차산로 100 성수동2가 315-105,37.54415894,127.0566559,연무장9길,성수동2가,성수,77.2,0,성수역3번출구,46.2,4,0,0,0,0,ST-506,93621,95417,0.009500735301896972
2540,339,339,339, 중랑물재생센터(서울새활용플라자),성동구,서울특별시 성동구 자동차시장길 49 중랑물재생센터,37.55836487,127.0569077,자동차시장길,용답동,용답,660.4,0,서울교통공사.서울새활용플라자,409.0,0,0,0,0,0,ST-967,11524,12888,0.05587416024905784
1960,340,340,340,한양대역 3번 출구,성동구,서울특별시 성동구 왕십리로 190-1 디자인노점,37.55453873,127.0437775,왕십리로,행당동,한양대,82.2,0,행당중학교,93.2,2,0,0,0,0,ST-2326,35493,36491,0.01386419204267615
1286,341,341,341,한양대역 1번출구,성동구,서울특별시 성동구 행당동 33,37.55657959,127.0433579,살곶이8길,행당동,한양대,147.4,0,한양대정문앞,21.7,3,0,0,0,0,ST-2327,18234,18111,-0.003384234420140322
479,342,342,342,상왕십리역 6번 출입구,성동구,서울특별시 성동구 하왕십리동 903-1,37.56438065,127.0288696,왕십리로31가길,하왕십리동,상왕십리,42.9,0,상왕십리역,38.5,3,1,0,1,1,ST-2329,10564,9195,-0.06928488283820032
855,343,343,343,뚝섬역 6번출구,성동구,서울특별시 성동구 뚝섬로1길 63 영창디지털타워,37.54695892,127.0476685,상원1길,성수동1가,뚝섬,36.5,1,뚝섬역2번출구,99.8,2,0,0,0,1,ST-2330,40580,38921,-0.020867662041986892
1206,344,344,344,건영아파트 앞,성동구,서울특별시 성동구 동일로 265 건영아파트상가,37.55514145,127.071106,동일로,송정동,어린이대공원,851.1,1,송정동건영아파트,27.8,2,0,0,0,1,ST-2331,36226,35838,-0.005384103019538188
2217,345,345,345,금호나들목,성동구,서울특별시 성동구 금호로 15 서울숲푸르지오아파트,37.54404068,127.023201,금호로1길,금호동4가,옥수,594.0,0,서울숲푸르지오아파트후문,77.3,1,0,0,0,0,ST-2332,27400,28755,0.024129641171756745
2574,346,346,346,성동도로사업소,성동구,서울특별시 성동구 자동차시장길 11 대승모터스,37.55979919,127.0563278,자동차시장길,용답동,용답,533.5,0,서울교통공사.서울새활용플라자,255.1,0,0,0,0,0,ST-2333,6866,7797,0.06349314601377617
2150,347,347,347,서울숲 공영주차장앞,성동구,서울특별시 성동구 성수동1가 719,37.54195786,127.0427704,왕십리로,성수동1가,서울숲,251.4,0,뚝섬서울숲남문,18.2,3,0,0,0,0,ST-2334,23090,24094,0.0212783994574432
960,348,348,348,마장역3번출구,성동구,서울특별시 성동구 마장로 302,37.565979,127.0431137,마조로18길,마장동,마장,18.3,0,마장역,43.4,4,0,0,0,0,ST-2335,14579,14156,-0.01472072385592483
210,349,349,349,양지사거리(센트라스APT 115동앞),성동구,서울특별시 성동구 왕십리로 410 센트라스,37.56681824,127.0291519,마장로,하왕십리동,상왕십리,274.1,0,텐즈힐아파트101동.115동,25.5,2,0,0,0,0,ST-2337,5116,3499,-0.18769587928032502
18,350,350,350,신금호파크자이APT앞,성동구,서울특별시 성동구 금호동2가 1-5,37.55610657,127.019783,금호로,금호동2가,신금호,179.6,0,대경중입구,14.3,8,0,0,0,0,ST-2338,7003,1686,-0.6119231211877086
1821,351,351,351,서울숲리버뷰자이APT105동 앞,성동구,서울특별시 성동구 행당동 379-1,37.55653,127.0391312,왕십리로19길,행당동,한양대,423.4,0,서울숲리버뷰자이아파트제2주차장,27.0,2,0,0,0,0,ST-2339,10527,10730,0.009549795361527967
431,352,352,352,마장동 금호어울림APT앞,성동구,서울특별시 성동구 마장동 336-11,37.56339645,127.0418701,마조로,마장동,마장,315.5,0,마장동금호아파트,36.1,1,0,0,0,0,ST-2340,14163,12073,-0.07966153377039183
2135,353,353,353,성동구민종합체육센터 앞,성동구,서울특별시 성동구 성수동1가 685-632,37.54590988,127.0446014,왕십리로6길,성수동1가,서울숲,254.7,1,성동구민종합체육센터,31.7,4,0,0,0,1,ST-2341,60546,63064,0.020370520184451096
1743,354,354,354,성동구 견인차량 보관소 앞,성동구,서울특별시 성동구 천호대로78길 9,37.56370926,127.0564499,용답29가길,용답동,답십리,472.4,0,고미술상가,96.4,1,0,0,0,0,ST-2342,37319,37887,0.0075525888891843735
306,355,355,355,행당동 삼부APT후문,성동구,서울특별시 성동구 왕십리로 278-17 행당동삼부아파트상가,37.55926895,127.0383987,왕십리로,행당동,왕십리,258.1,0,서울숲삼부아파트,72.4,1,0,0,0,0,ST-2343,5951,4657,-0.12198340874811463
2455,356,356,356,사근빗물펌프장 건너편,성동구,서울특별시 성동구 사근동 241-1,37.56119156,127.0496826,사근동10길,사근동,용답,133.4,0,사근동하이츠아파트앞,57.4,2,0,0,0,0,ST-2420,70133,76599,0.04406673390944034
1912,357,357,357, 코오롱디지털타워 3차앞,성동구,서울특별시 성동구 아차산로 39-1 구두수선대,37.54655838,127.0499878,상원2길,성수동1가,뚝섬,241.8,0,뚝섬역4번출구,57.8,4,0,0,0,0,ST-2466,46322,47502,0.012576739427012278
1109,358,358,358, 르노삼성자동차 성수사업소 앞,성동구,서울특별시 성동구 광나루로270,37.54824448,127.0595779,성수이로,성수동2가,성수,517.2,0,성동세무서,239.1,0,0,0,0,0,ST-2467,17395,17098,-0.00861044269851854
905,359,359,359, 행당중학교 후문,성동구,서울특별시 성동구 왕십리로189,37.5540123,127.0415497,살곶이길,행당동,한양대,232.8,0,행당중학교,148.7,0,1,1,2,2,ST-2468,15740,15185,-0.017946645109135004
337,360,360,360, 신금호역 2번출구 앞,성동구,서울특별시 성동구 신금호역 2번출구,37.55507278,127.0198898,금호로,금호동2가,신금호,70.1,1,신금호역,21.7,8,0,0,0,1,ST-2856,1931,1543,-0.11168681635002879
2048,361,361,361, kt 행당빌딩 앞,성동구,서울특별시 성동구 성동구 고산자로 212,37.55862045,127.0343552,고산자로6길,행당동,왕십리,439.9,1,무학여고,38.3,5,1,0,1,2,ST-2787,20873,21586,0.016792670576320685
1137,362,362,362, 서울숲IT캐슬 앞,성동구,서울특별시 성동구 성동구 광나루로 130,37.55141449,127.044754,왕십리로16가길,성수동1가,한양대,439.1,0,성동교남단,122.6,0,0,0,0,0,ST-2834,17367,17096,-0.007863505788816992
1651,363,363,363, 서울숲 지식산업센터,성동구,서울특별시 성동구 서울 성동구 성수일로 10. 서울숲 itct 지식산업센터 앞,37.54127502,127.0484924,뚝섬로,성수동1가,서울숲,423.6,0,경일초등학교앞,32.5,2,0,0,0,0,ST-3002,29238,29555,0.005391798343340194
2476,364,364,364, 우영테크노센터 앞,성동구,서울특별시 성동구 성동구 아차산로 144,37.54332352,127.0597153,성수이로20길,성수동2가,성수,359.9,0,경수중학교입구,65.3,1,0,0,0,0,ST-3003,34095,37401,0.04624034911043975
1294,365,365,365, 더스페이스타워 앞,성동구,서울특별시 성동구 광나루로 144 더 스페이스 타워,37.55140305,127.0463638,광나루로,성수동1가,뚝섬,476.6,0,상원,34.8,2,0,0,0,0,ST-3042,33086,32876,-0.003183651193111185
1591,366,366,366, 페코텍글로벌허브빌딩 앞,성동구,서울특별시 성동구 동일로 169,37.54753494,127.0668259,동일로,성수동2가,건대입구,816.8,0,화양사거리,40.9,3,0,0,0,0,ST-3043,42906,43236,0.0038308838893919344
2350,367,367,367, 푸조비즈타워 앞,성동구,서울특별시 성동구 성동구 광나루로 310,37.54808044,127.0646133,광나루로,성수동2가,건대입구,958.5,0,성동세무서,30.1,3,0,0,0,0,ST-3044,31824,34043,0.0336891007636601
909,368,368,368, 용답동 우체국 주변,성동구,서울특별시 성동구 천호대로 384,37.56168747,127.0615158,천호대로,용답동,장한평,275.9,0,청년회의소,37.0,3,0,0,0,0,ST-3099,8727,8427,-0.017488632388947184
1774,369,369,369, 현대자동차 동부서비스센터 주변,성동구,서울특별시 성동구 성수이로 134 현대자동차써비스(주)동부사업소,37.546978,127.0579681,성수이로,성수동2가,성수,319.7,0,제인병원,270.0,0,0,0,0,0,ST-3120,7496,7622,0.008334435771927504
1257,370,370,370, 성수역 1번출구 주변,성동구,서울특별시 성동구 아차산로 83 에프투텔레콤,37.54555893,127.0533676,성수일로8길,성수동2가,성수,253.6,0,성수역1번출구,27.4,4,0,0,0,0,ST-3121,6269,6219,-0.0040038436899423446
2028,371,371,371, 하우스디세종타워 앞,성동구,서울특별시 성동구 성수일로10길 26 하우스디 세종타워,37.54644394,127.0533218,성수일로8길,성수동2가,성수,311.7,0,성수역1번출구,115.7,0,0,0,0,0,ST-3136,6871,7096,0.016109400730292833
1505,372,372,372, 군자역2번출구,광진구,서울특별시 광진구 능동로 313 군자역2번출구,37.55758667,127.0796967,능동로37길,중곡동,군자,53.5,2,군자역,46.7,3,0,0,0,2,ST-983,58265,58490,0.0019271123292364353
1588,373,373,373, 광진구청 앞,광진구,서울특별시 광진구 자양로 131 광진구청 앞,37.53950119,127.0830002,자양로,자양동,구의,372.6,0,광진구청,73.3,1,0,0,0,0,ST-984,67482,67987,0.0037277901217252656
953,374,374,374, 중곡역 1번출구,광진구,서울특별시 광진구 능동로 지하 417 중곡역 1번출구 앞,37.56565857,127.0842972,능동로51길,중곡동,중곡,29.4,0,중곡역.국립정신건강센터,48.3,3,0,0,0,0,ST-985,27704,26880,-0.015095998827495237
61,375,375,375, 광진유진스웰,광진구,서울특별시 광진구 아차산로78길 7 광진유진스웰,37.55048752,127.1089554,아차산로78길,광장동,광나루,746.7,0,워커힐아파트앞,6.3,3,0,0,0,0,ST-986,5573,2147,-0.4437823834196891
1095,376,376,376, 원일교회,광진구,서울특별시 광진구 아차산로 304 원일교회,37.53805161,127.0765991,아차산로39길,자양동,건대입구,634.7,0,송림식당앞,136.5,0,0,0,0,0,ST-987,53634,52649,-0.009267709793664085
1850,377,377,377, 신양초교앞 교차로,광진구,서울특별시 광진구 능동로 42 신양초교앞 교차로,37.5352211,127.0683975,뚝섬로,자양동,뚝섬유원지,435.1,0,자양동,50.3,4,0,0,0,0,ST-988,16974,17338,0.010608533457682444
1451,378,378,378, 영동대교 북단,광진구,서울특별시 광진구 자양동 203-22 영동대교 북단,37.53701401,127.0610962,동일로,자양동,뚝섬유원지,784.1,0,영동대교북단,31.9,6,0,0,0,0,ST-1191,39273,39320,0.0005980176351583474
192,379,379,379, 어린이회관,광진구,서울특별시 광진구 능동 465-7 어린이회관,37.54595184,127.0780029,광나루로26길,능동,어린이대공원,373.8,0,어린이회관,68.7,1,0,0,0,0,ST-1192,20908,13940,-0.19995408631772268
779,380,380,380, 화양사거리,광진구,서울특별시 광진구 화양동 21-6 화양사거리,37.54822159,127.0678787,광나루로12길,화양동,어린이대공원,599.5,0,송정어린이집,87.5,2,0,0,0,0,ST-1193,16506,15652,-0.026556377884196777
1819,381,381,381, 세종사이버대학교,광진구,서울특별시 광진구 군자동 111-2 세종사이버대학교,37.55341721,127.0731964,군자로15길,군자동,어린이대공원,613.4,0,세종초등학교.세종사이버대학교앞,4.0,1,1,1,2,2,ST-1194,65427,66683,0.009507228824464461
639,382,382,382, 중곡SK아파트앞,광진구,서울특별시 광진구 용마산로32길 32 중곡SK아파트앞,37.56864929,127.0862503,용마산로30길,중곡동,중곡,347.3,0,용곡삼거리,58.0,4,0,0,0,0,ST-1427,14135,13040,-0.04029438822447102
963,383,383,383, 구의아리수정수센터앞,광진구,서울특별시 광진구 광나루로 571 구의아리수정수센터앞,37.54370499,127.0932465,구의로16길,광장동,아차산,938.3,0,올림픽대교북단사거리,34.8,4,0,0,0,0,ST-1271,19506,18942,-0.01466916354556804
2437,384,384,384, 용마사거리,광진구,서울특별시 광진구 능동로 373 용마사거리,37.5625267,127.0822754,긴고랑로,중곡동,중곡,418.0,0,용마사거리,44.2,6,0,0,0,0,ST-1266,41294,44924,0.042102577188058175
1480,385,385,385, 군자역 7번출구뒤,광진구,서울특별시 광진구 천호대로 지하 550 군자역 7번출구 뒤,37.55686188,127.0791397,능동로36길,군자동,군자,45.7,1,군자역,60.6,4,0,0,0,1,ST-1263,92657,92905,0.0013364805294187388
1199,386,386,386, 광진경찰서,광진구,서울특별시 광진구 자양로 167 광진경찰서,37.54251862,127.0840836,자양로,구의동,구의,625.3,0,광진경찰서앞,30.6,3,0,0,0,0,ST-1378,53760,53147,-0.005733955681106008
769,387,387,387, 현대홈타운 뒷길,광진구,서울특별시 광진구 아차산로69길 29 현대홈타운 뒷길,37.54342651,127.0966187,아차산로,광장동,광나루,648.7,0,청구아파트앞,42.8,1,0,0,0,0,ST-1379,7694,7288,-0.02709918568949406
2369,388,388,388, 건국대학교 과학관(이과대) 앞,광진구,서울특별시 광진구 능동로 120 건국대학교 과학관(이과대) 앞,37.54171753,127.0801697,자양로23가길,화양동,구의,723.3,0,광진경찰서,311.6,0,0,0,0,0,ST-1429,21912,23528,0.03556338028169014
1023,389,389,389, 세종대학교,광진구,서울특별시 광진구 군자로 114 세종대학교,37.55023575,127.073822,광나루로19길,군자동,어린이대공원,257.4,0,어린이대공원앞.세종대학교,152.7,0,0,0,0,0,ST-1428,5065,4943,-0.012190247801758593
2692,390,390,390, 광진정보도서관,광진구,서울특별시 광진구 아차산로78길 90 광진정보도서관,37.55059814,127.1105118,아차산로78길,광장동,광나루,849.5,1,정보도서관,39.0,2,0,0,0,1,ST-1602,23593,30578,0.12894353067139244
388,391,391,391, 어린이대공원정문,광진구,서울특별시 광진구 능동로 216 어린이대공원정문,37.54978943,127.0759277,능동로,능동,어린이대공원,226.8,0,세종대학교,11.7,3,0,0,0,0,ST-1603,18240,15179,-0.09159460187318591
2086,392,392,392, 건대입구역 사거리(롯데백화점),광진구,서울특별시 광진구 능동로 92 건대입구역 사거리(롯데백화점),37.53913879,127.0706177,동일로20길,자양동,건대입구,175.9,2,광진구의회,15.7,4,0,0,0,2,ST-1660,125640,130297,0.018195884143363407
1474,393,393,393, 건대입구역 5번출구 뒤,광진구,서울특별시 광진구 아차산로 236 건대입구역 5번출구 뒤,37.54013824,127.0692825,동일로20길,자양동,건대입구,103.9,1,광진구의회,127.9,0,0,0,0,1,ST-1661,71278,71448,0.0011910934237630145
1921,394,394,394, 중앙농협(자양동),광진구,서울특별시 광진구 뚝섬로 639 중앙농협(자양동),37.53181076,127.0807419,뚝섬로,자양동,구의,742.1,0,국민은행자양지점앞,31.1,2,0,0,0,0,ST-1663,49578,50857,0.012734604470553095
111,395,395,395, 아차산 휴먼시아 아파트 옆,광진구,서울특별시 광진구 천호대로 716 아차산 휴먼시아 아파트 옆,37.54848862,127.0937576,천호대로,구의동,아차산,501.1,0,새밭교회,52.9,2,0,0,0,0,ST-1664,12645,6542,-0.3180799499661229
1295,396,396,396, 커먼그라운드,광진구,서울특별시 광진구 아차산로 200 커먼그라운드,37.54124832,127.06604,동일로20길,자양동,건대입구,375.4,1,건대입구역6번출구,119.1,0,0,0,0,1,ST-1690,78798,78299,-0.003176381471320267
1541,397,397,397, 래미안 구의파크 스위트,광진구,서울특별시 광진구 광나루로 545 래미안파크스위트,37.5450058,127.0900345,광나루로40길,구의동,아차산,742.4,0,래미안구의파크스위트사거리,104.3,2,0,0,0,0,ST-1722,55267,55568,0.0027157486353588667
782,398,398,398, 어린이대공원역 3번출구 앞,광진구,서울특별시 광진구 능동로 지하210 어린이대공원역 3번출구 앞,37.54706955,127.0742722,능동로,화양동,어린이대공원,110.2,0,어린이대공원역.화양천주교회,75.5,2,0,0,0,0,ST-97,51502,48847,-0.026457662756978147
518,399,399,399, 광진구의회 앞,광진구,서울특별시 광진구 능동로 76 광진구의회 앞,37.53730774,127.0703507,능동로8길,자양동,건대입구,375.9,0,광진문화예술회관,140.5,0,0,0,0,0,ST-98,42434,37428,-0.06268312839648393
2458,400,400,400, 뚝섬유원지역 1번출구 앞,광진구,서울특별시 광진구 능동로 10 뚝섬유원지역 1번출구 앞,37.53186035,127.0671921,능동로,자양동,뚝섬유원지,55.9,0,뚝섬유원지,44.0,3,0,0,0,0,ST-99,188505,205926,0.04416742091772705
1091,401,401,401, 자양사거리 광진아크로텔 앞,광진구,서울특별시 광진구 아차산로 355 타워더모스트 광진아크로텔,37.53701019,127.0822449,아차산로46가길,자양동,구의,324.5,0,자양사거리,31.4,2,0,0,0,0,ST-102,54903,53884,-0.009366928033680494
790,402,402,402, 광양중학교 앞,광진구,서울특별시 광진구 자양로3길 7 광양중학교 앞,37.53023529,127.0868301,자양로2길,자양동,구의,763.6,0,자양동잠실대교북단,226.4,0,1,0,1,1,ST-113,17170,16310,-0.025686977299880526
1612,403,403,403, 광진메디칼 앞,광진구,서울특별시 광진구 광나루로 355 광진메디컬앞,37.54840469,127.0693665,광나루로15길,군자동,어린이대공원,469.6,0,화양사거리,60.9,1,0,0,0,0,ST-114,31159,31432,0.004361649438417664
1209,404,404,404, 군자교교차로,광진구,서울특별시 광진구 중곡동 263-1 군자교교차로,37.55979538,127.0742035,천호대로101길,중곡동,군자,557.3,0,군자교입구,127.1,0,0,0,0,0,ST-252,38572,38170,-0.005238331031247556
1535,405,405,405, 군자역 7번출구 베스트샵 앞,광진구,서울특별시 광진구 군자동 499 군자역 7번출구 베스트샵 앞,37.55603027,127.0786438,능동로31길,군자동,군자,144.8,0,능동사거리.군자역,35.9,5,0,0,0,0,ST-253,43891,44121,0.0026132800072717357
1251,406,406,406, 강변역 4번출구 뒤,광진구,"서울특별시 광진구 구의동 546-6 강변역 1,4번 출구 아래",37.53546524,127.0944824,강변역로,구의동,강변,44.7,1,강변역.테크노마트앞,90.7,3,0,0,0,1,ST-254,40501,40167,-0.004140427430951554
1330,407,407,407, 구의공원(테크노마트 앞),광진구,서울특별시 광진구 구의동 546-3 구의공원(테크노마트 앞),37.53596878,127.0946732,강변역로,구의동,강변,97.0,0,강변역.테크노마트앞,34.7,6,0,0,0,0,ST-255,43174,42986,-0.002181987000928505
2496,408,408,408, 광남중학교,광진구,서울특별시 광진구 광장동 561-15 광남중학교,37.54072952,127.1029053,아차산로70길,광장동,광나루,511.0,0,광남고.삼성아파트,188.6,0,0,0,0,0,ST-256,19596,21630,0.049337796536166496
1408,409,409,409, 잠실대교북단 교차로,광진구,서울특별시 광진구 자양동 722 잠실대교북단 교차로,37.53247833,127.0850906,자양로5길,자양동,구의,515.6,0,자양동잠실대교북단,58.6,4,0,0,0,0,ST-257,37528,37508,-0.0002665387280771896
1972,410,410,410, 자양나들목,광진구,서울특별시 광진구 자양동 738 자양나들목,37.5297699,127.0748596,자양번영로,자양동,뚝섬유원지,747.2,0,신자초등학교앞,67.9,1,1,0,1,1,ST-258,46518,47874,0.014365624205441139
1329,411,411,411, 아차산역 3번출구,광진구,서울특별시 광진구 구의동 96 아차산역 3번출구,37.55122375,127.0897064,천호대로132길,구의동,아차산,52.1,0,어린이대공원후문아차산역,39.2,4,0,0,0,0,ST-259,59943,59678,-0.002215330084182543
1837,412,412,412, 구의삼성쉐르빌 앞,광진구,서울특별시 광진구 구의강변로 106 구의삼성쉐르빌 앞,37.54006195,127.0944977,아차산로65길,구의동,강변,551.5,1,현대아파트앞,57.2,2,0,0,0,1,ST-377,61239,62511,0.010278787878787879
1846,413,413,413, 대림아크로리버 앞,광진구,서울특별시 광진구 구의강변로 64 대림아크로리버 앞,37.53657913,127.0929718,강변역로,구의동,강변,223.5,0,강변역,35.7,4,1,0,1,1,ST-378,18867,19268,0.01051527468205061
1922,414,414,414, 중곡 성원아파트 앞,광진구,서울특별시 광진구 동일로 459 중곡 성원APT 앞,37.57125473,127.0798035,답십리로74길,중곡동,중곡,713.7,0,면곡시장,110.3,0,0,0,0,0,ST-379,22269,22844,0.012745771728769978
1028,415,415,415, 구의3동주민센터,광진구,서울특별시 광진구 강변역로 17 구의3동주민센터,37.53784943,127.0921707,아차산로60길,구의동,강변,377.7,2,구의3동주민센터,66.1,1,1,0,1,3,ST-381,12921,12617,-0.011903829587281698
1032,416,416,416, 세종대학교 대양AI센터,광진구,서울특별시 광진구 군자동 98-22,37.55039597,127.0758591,능동로,군자동,어린이대공원,284.9,0,세종대학교,61.9,3,0,0,0,0,ST-382,24307,23739,-0.011822003912916788
1258,417,417,417, 구의문주차장 앞,광진구,서울특별시 광진구 능동로 216 구의문주차장 앞,37.54523087,127.0847321,자양로,능동,아차산,843.5,0,구의사거리.광진소방서앞,35.7,3,0,0,0,0,ST-384,41090,40773,-0.0038723232718077764
130,418,418,418, 아차산역4번출구,광진구,서울특별시 광진구 능동로 216 아차산역4번출구,37.55184937,127.0889816,능동로36길,능동,아차산,71.1,0,어린이대공원후문아차산역,67.8,3,0,0,0,0,ST-385,60312,34235,-0.275809914645626
941,419,419,419, 대원중고교 입구(대하빌딩),광진구,서울특별시 광진구 용마산로 120 중앙농협 중곡지점,37.56429291,127.086937,용마산로22길,중곡동,중곡,293.6,0,대원고교앞,10.8,3,0,0,0,0,ST-386,10053,9744,-0.015608425519018034
2051,420,420,420, 광나루역 3번 출구,광진구,서울특별시 광진구 아차산로 552 광나루역 3번 출구,37.54483032,127.1042633,아차산로73길,광장동,광나루,80.7,0,광나루역,89.6,3,0,0,0,0,ST-387,45742,47317,0.016924746666093553
2134,421,421,421, 광진청소년수련관,광진구,서울특별시 광진구 구천면로 2 광진청소년수련관,37.54654694,127.1061325,아차산로76가길,광장동,광나루,265.2,0,청소년수련관,85.7,3,0,0,0,0,ST-388,35764,37251,0.020365678285283847
282,422,422,422, 광진광장 교통섬,광진구,서울특별시 광진구 군자동 374-8 광진광장 교통섬,37.54782867,127.0726318,광나루로,군자동,어린이대공원,180.2,0,광진광장,114.1,0,0,0,0,0,ST-445,55963,42556,-0.13608542514641847
2141,423,423,423, 뚝섬 유원지역,광진구,서울특별시 광진구 능동로 10 뚝섬유원지역,37.53268814,127.0674973,능동로,자양동,뚝섬유원지,145.4,1,뚝섬유원지,87.8,1,0,0,0,1,ST-483,46606,48577,0.020707479276761608
2246,424,424,424, 건국대학교 (입학정보관),광진구,서울특별시 광진구 능동로 120 입학정보관,37.53989029,127.0733643,아차산로39길,화양동,건대입구,291.0,0,건국대학교앞,173.1,0,0,0,0,0,ST-972,40338,42469,0.025734539350538
2021,425,425,425, 건국대학교 (행정관),광진구,서울특별시 광진구 능동로 120 행정관,37.54277802,127.0753708,능동로16길,화양동,어린이대공원,584.5,1,서울화양초등학교,299.1,0,0,0,0,1,ST-973,15030,15518,0.01597485923792065
2453,426,426,426, 건국대학교 학생회관,광진구,서울특별시 광진구 능동로 120 학생회관,37.54191208,127.0776367,아차산로41가길,화양동,어린이대공원,726.6,0,어린이회관,398.2,0,0,0,0,0,ST-974,58472,63839,0.043879945385124804
2390,427,427,427,자양중앙나들목,광진구,서울특별시 광진구 자양강변길 301 광진구 자양2동 705,37.52858734,127.0778732,뚝섬로52길,자양동,뚝섬유원지,1040.2,1,신자초등학교앞,321.0,0,0,0,0,1,ST-980,34954,37693,0.03770286453673242
2057,428,428,428, 세종대학교(학술정보원),광진구,서울특별시 광진구 능동로 209 세종대학교,37.55137253,127.07444,능동로21길,군자동,어린이대공원,373.3,1,세종대학교,195.0,0,0,0,0,1,ST-1760,9669,10006,0.01712833545108005
1637,429,429,429,구의7단지현대아파트,광진구,서울특별시 광진구 구의강변로3가길 33 구의7단지조합현대아파트,37.53680038,127.0908356,강변북로,구의동,강변,389.0,1,광진우체국,138.2,0,0,0,0,1,ST-2302,4188,4230,0.004989308624376337
64,430,430,430,나루마당,광진구,서울특별시 광진구 구의동 175-1,37.54707336,127.0982895,워커힐로,구의동,광나루,506.3,0,한전삼거리,183.2,0,0,0,0,0,ST-2303,4132,1620,-0.43671766342141866
1514,431,431,431,우성4차아파트,광진구,서울특별시 광진구 자양동 712,37.53507233,127.0761108,자양번영로8길,자양동,건대입구,812.0,0,자양중학교앞,43.6,2,0,0,0,0,ST-2305,30731,30860,0.0020944618531928364
1969,432,432,432,건대병원후문,광진구,서울특별시 광진구 화양동 4-1,37.53956604,127.0724411,동일로22길,화양동,건대입구,232.0,0,건대입구(가상),145.8,0,0,0,0,0,ST-2308,90557,93176,0.014254379997060952
1816,433,433,433,구의역 리버비스타 오피스텔,광진구,서울특별시 광진구 아차산로 417,37.53809738,127.0890198,아차산로,구의동,구의,296.8,0,구의역,20.8,3,0,0,0,0,ST-2309,67258,68538,0.00942590356122419
1215,434,434,434,화양 APT(횡단보도 옆),광진구,서울특별시 광진구 화양동 24-33,37.54434967,127.0654068,동일로24길,화양동,건대입구,588.6,1,화양동현대아파트,43.3,1,0,0,0,1,ST-2310,75348,74581,-0.005115754790600884
1090,435,435,435,광나루안전체험관,광진구,서울특별시 광진구 능동 18,37.5513382,127.0767136,능동로,능동,어린이대공원,411.2,0,어린이대공원앞,83.4,1,0,0,0,0,ST-2312,36723,36041,-0.00937276675278984
1387,436,436,436, 자양사거리(서원빌딩),광진구,서울특별시 광진구 아차산로 360 서원빌딩,37.53657532,127.0825806,아차산로46가길,자양동,구의,300.0,1,자양사거리,34.9,2,0,0,0,1,ST-2314,75427,75329,-0.0006500570458223885
1087,437,437,437,중곡동 파크웨이빌딩,광진구,서울특별시 광진구 천호대로 611,37.55500793,127.0858154,용마산로1길,중곡동,아차산,507.0,0,중곡동입구삼거리,86.3,3,0,0,0,0,ST-2317,32086,31477,-0.009581045576829287
1272,438,438,438,광진 캠퍼스시티,광진구,서울특별시 광진구 화양동 21-62,37.54788971,127.0674515,동일로,화양동,어린이대공원,637.0,0,화양사거리,79.7,1,0,0,0,0,ST-2318,56366,55954,-0.003668091168091168
