,보관소(대여소)명,자치구,위도,경도,public_place_in_100m,public_transport_in_100m,total_schools_in_100m,population_per_station,area_per_station,거치대 개수
71,종로3가역 8번출구,종로구,37.5724678,126.99189,0,3,0,6,335.27,10
72,종묘,종로구,37.5707016,126.994812,0,6,0,5,128.85,10
73,세운상가,종로구,37.5703125,126.994545,0,6,0,5,128.85,15
74,종로플레이스,종로구,37.57320023,126.997963,0,2,0,14,673.85,22
75,종로5가역 4번출구,종로구,37.57117462,127.0022278,0,5,0,49,272.66,10
76,동대문역6번출구,종로구,37.57146072,127.010788,0,3,0,0,295.84,15
77,동묘앞역 6번출구,종로구,37.5715332,127.0156174,0,2,0,16,137.43,15
78,창신3동주민센터,종로구,37.57772446,127.0152512,1,5,0,665,184.61,12
79,창신역2번 출구,종로구,37.57998657,127.0150604,0,4,0,556,223.29,10
80,국립어린이과학관,종로구,37.58194733,126.9973679,0,0,0,40,198.6,14
81, 성균관대입구사거리,종로구,37.58327484,126.9988556,0,5,0,18,213.29,10
82,혜화역 1번출구,종로구,37.58385468,127.0018539,0,4,0,9,178.26,10
83,성균관대 정문,종로구,37.58479691,126.9971314,1,1,0,187,152.42,23
84,현대그룹(본사),종로구,37.57583618,127.0006943,1,3,0,58,307.84,20
85,광화문 풍림스페이스본 1단지앞,종로구,37.57529068,126.968956,0,4,0,142,271.2,7
86,독립문역 2번출구 뒤,종로구,37.57501602,126.9575501,1,4,0,0,204.89,10
87,인왕산 아이파크 정문,종로구,37.57666779,126.9558487,0,3,0,257,0,8
88,서울미술관,종로구,37.59512711,126.9634934,0,3,0,95,150.11,10
89,HW컨벤션센터 앞,종로구,37.59725952,126.963089,0,2,0,169,144.53,10
90,구기치안센터 앞,종로구,37.60950089,126.9566803,1,2,0,58,45.2,8
91,로제우스 레포츠센터,종로구,37.60760117,126.9576874,0,1,0,79,114.95,10
92,종로2가 사거리,종로구,37.56999207,126.9883423,0,4,0,18.5,271.185,15
