,기준_날짜,기준_시간,시작_대여소,종료_대여소,전체건수,전체_이용_분,전체_이용_거리,전 체건수
8000100,20220627,855,ST-2194,ST-25,,4,668,1.0
8000101,20220627,1050,ST-397,ST-1632,,3,470,1.0
8000102,20220627,2100,ST-1730,ST-1683,,188,2926,2.0
8000103,20220627,755,ST-1070,ST-1683,,2,630,1.0
8000104,20220627,805,ST-1070,ST-1683,,3,630,1.0
8000105,20220627,1840,ST-797,ST-1683,,31,5980,1.0
8000106,20220627,2315,ST-73,ST-73,,212,17863,3.0
8000107,20220627,820,ST-72,ST-73,,7,1289,1.0
8000108,20220627,1845,ST-66,ST-73,,5,581,1.0
8000109,20220627,2020,ST-66,ST-73,,7,790,1.0
8000110,20220627,1205,ST-53,ST-59,,3,487,1.0
8000111,20220627,845,ST-3072,ST-59,,3,580,1.0
8000112,20220627,730,ST-1079,ST-1078,,3,670,1.0
8000113,20220627,2155,ST-1079,ST-1078,,4,710,1.0
8000114,20220627,30,ST-1420,ST-1078,,10,2190,1.0
8000115,20220627,1845,ST-1072,ST-543,,103,2150,1.0
8000116,20220627,850,ST-1078,ST-543,,5,735,1.0
8000117,20220627,2135,ST-1875,ST-543,,109,4103,1.0
8000118,20220627,955,ST-547,ST-1683,,16,2417,1.0
8000119,20220627,1105,ST-547,ST-1683,,43,3510,1.0
8000120,20220627,640,ST-891,ST-1683,,5,740,1.0
8000121,20220627,955,ST-891,ST-1683,,5,744,1.0
8000122,20220627,2310,ST-2899,ST-73,,6,709,1.0
8000123,20220627,705,ST-64,ST-73,,2,0,1.0
8000124,20220627,905,ST-47,ST-73,,5,780,1.0
8000125,20220627,845,ST-1970,ST-59,,6,840,1.0
8000126,20220627,525,ST-709,ST-59,,338,36912,2.0
8000127,20220627,920,ST-1512,ST-59,,46,9287,1.0
8000128,20220627,815,ST-1872,ST-740,,4,730,1.0
8000129,20220627,920,ST-2915,ST-740,,3,770,1.0
8000130,20220627,1755,ST-891,ST-1683,,4,230,1.0
8000131,20220627,1805,ST-1584,ST-1683,,7,802,1.0
8000132,20220627,1810,ST-894,ST-1683,,27,2890,2.0
8000133,20220627,2250,ST-904,ST-1081,,19,3121,1.0
8000134,20220627,1820,ST-2973,ST-1081,,15,2640,1.0
8000135,20220627,820,ST-327,ST-73,,25,4264,1.0
8000136,20220627,740,ST-2810,ST-60,,6,1270,1.0
8000137,20220627,900,ST-50,ST-60,,5,850,1.0
8000138,20220627,2155,ST-1874,ST-740,,13,1501,1.0
8000139,20220627,55,ST-840,ST-740,,21,3520,1.0
8000140,20220627,1145,ST-1853,ST-2877,,41,2700,1.0
8000141,20220627,2125,ST-1081,ST-1081,,46,3221,1.0
8000142,20220627,2225,ST-1081,ST-1081,,12,265,1.0
8000143,20220627,230,ST-799,ST-1081,,31,5660,1.0
8000144,20220627,2205,ST-307,ST-70,,78,1310,1.0
8000145,20220627,1740,ST-71,ST-70,,2,400,1.0
8000146,20220627,1040,ST-59,ST-70,,12,2740,1.0
8000147,20220627,945,ST-62,ST-70,,5,810,1.0
8000148,20220627,835,ST-692,ST-60,,23,5219,1.0
8000149,20220627,950,ST-416,ST-63,,28,3740,1.0
8000150,20220627,840,ST-2902,ST-63,,8,1485,1.0
