"시군구코드","법정동코드","행정동코드","시도명","시군구명","법정동명","행정동명","적용시작일","적용만료일"
"11680","10600","675","서울특별시","강남구","대치동","개포3동","20221223","99991231"
"11680","11400","675","서울특별시","강남구","일원동","개포3동","20221223","99991231"
"11680","10300","675","서울특별시","강남구","개포동","개포3동","20221223","99991231"
"11740","10300","526","서울특별시","강동구","상일동","상일제2동","20210701","99991231"
"11740","10300","525","서울특별시","강동구","상일동","상일제1동","20210701","99991231"
"11290","10300","620","서울특별시","성북구","돈암동","정릉제1동","20210315","99991231"
"11530","11200","800","서울특별시","구로구","항동","항동","20200101","99991231"
"11305","10200","608","서울특별시","강북구","번동","번3동","20190101","99991231"
"11305","10200","595","서울특별시","강북구","번동","번1동","20190101","99991231"
"11305","10300","635","서울특별시","강북구","수유동","수유3동","20190101","99991231"
"11305","10300","625","서울특별시","강북구","수유동","수유2동","20190101","99991231"
"11305","10200","603","서울특별시","강북구","번동","번2동","20190101","99991231"
"11305","10300","615","서울특별시","강북구","수유동","수유1동","20190101","99991231"
"11410","11200","555","서울특별시","서대문구","대현동","북아현동","20161109","99991231"
"11500","10900","620","서울특별시","강서구","방화동","공항동","20160928","99991231"
"11500","10500","630","서울특별시","강서구","마곡동","방화제1동","20160928","99991231"
"11500","10800","630","서울특별시","강서구","공항동","방화제1동","20160928","99991231"
"11500","10500","620","서울특별시","강서구","마곡동","공항동","20160928","99991231"
"11440","10200","610","서울특별시","마포구","공덕동","염리동","20150723","99991231"
"11710","10800","647","서울특별시","송파구","문정동","위례동","20150706","20161128"
"11710","11300","647","서울특별시","송파구","거여동","위례동","20150706","99991231"
"11710","10900","647","서울특별시","송파구","장지동","위례동","20150706","99991231"
"11500","10400","510","서울특별시","강서구","가양동","염창동","20150508","99991231"
"11230","10400","600","서울특별시","동대문구","전농동","답십리제1동","20141030","20150712"
"11500","10500","611","서울특별시","강서구","마곡동","발산제1동","20140514","99991231"
"11140","16300","615","서울특별시","중구","흥인동","신당동","20130720","99991231"
"11140","16400","615","서울특별시","중구","무학동","신당동","20130720","99991231"
"11140","16200","615","서울특별시","중구","신당동","신당동","20130720","99991231"
"11140","16200","635","서울특별시","중구","신당동","약수동","20130720","99991231"
"11140","16200","645","서울특별시","중구","신당동","청구동","20130720","99991231"
"11140","16200","665","서울특별시","중구","신당동","동화동","20130720","99991231"
"11140","16200","625","서울특별시","중구","신당동","다산동","20130720","99991231"
"11110","17300","650","서울특별시","종로구","명륜3가","혜화동","20120801","99991231"
"11110","13000","650","서울특별시","종로구","와룡동","혜화동","20120801","99991231"
"11350","10300","595","서울특별시","노원구","공릉동","공릉1동","20110623","99991231"
"11110","11900","615","서울특별시","종로구","세종로","종로1.2.3.4가동","20110501","99991231"
"11230","10100","536","서울특별시","동대문구","신설동","용신동","20090504","99991231"
"11230","10200","536","서울특별시","동대문구","용두동","용신동","20090504","99991231"
"11230","10300","545","서울특별시","동대문구","제기동","제기동","20090504","99991231"
"11680","11000","545","서울특별시","강남구","압구정동","압구정동","20090301","99991231"
"11680","10700","545","서울특별시","강남구","신사동","압구정동","20090301","99991231"
"11680","11400","670","서울특별시","강남구","일원동","개포2동","20090301","99991231"
"11680","10400","565","서울특별시","강남구","청담동","청담동","20090301","99991231"
"11350","10600","625","서울특별시","노원구","중계동","중계제2,3동","20090101","99991231"
"11110","11000","515","서울특별시","종로구","누하동","청운효자동","20081101","99991231"
"11110","10200","515","서울특별시","종로구","신교동","청운효자동","20081101","99991231"
"11110","10300","515","서울특별시","종로구","궁정동","청운효자동","20081101","99991231"
"11110","10400","515","서울특별시","종로구","효자동","청운효자동","20081101","99991231"
"11110","10500","515","서울특별시","종로구","창성동","청운효자동","20081101","99991231"
"11110","10800","515","서울특별시","종로구","통인동","청운효자동","20081101","99991231"
"11110","10900","515","서울특별시","종로구","누상동","청운효자동","20081101","99991231"
"11110","11100","515","서울특별시","종로구","옥인동","청운효자동","20081101","99991231"
"11110","10100","515","서울특별시","종로구","청운동","청운효자동","20081101","99991231"
"11110","11900","515","서울특별시","종로구","세종로","청운효자동","20081101","99991231"
"11560","10200","535","서울특별시","영등포구","영등포동1가","영등포동","20080901","99991231"
"11620","10200","735","서울특별시","관악구","신림동","대학동","20080901","99991231"
"11620","10200","745","서울특별시","관악구","신림동","삼성동","20080901","99991231"
"11620","10200","765","서울특별시","관악구","신림동","미성동","20080901","99991231"
"11620","10200","775","서울특별시","관악구","신림동","난곡동","20080901","99991231"
"11620","10100","585","서울특별시","관악구","봉천동","낙성대동","20080901","99991231"
"11620","10100","615","서울특별시","관악구","봉천동","중앙동","20080901","99991231"
"11560","10900","535","서울특별시","영등포구","영등포동8가","영등포동","20080901","99991231"
"11560","10800","535","서울특별시","영등포구","영등포동7가","영등포동","20080901","99991231"
"11620","10100","525","서울특별시","관악구","봉천동","보래매동","20080901","99991231"
"11620","10200","645","서울특별시","관악구","신림동","서원동","20080901","99991231"
"11620","10100","625","서울특별시","관악구","봉천동","인헌동","20080901","99991231"
"11620","10100","605","서울특별시","관악구","봉천동","은천동","20080901","99991231"
"11560","10600","535","서울특별시","영등포구","영등포동5가","영등포동","20080901","99991231"
"11620","10100","565","서울특별시","관악구","봉천동","성현동","20080901","99991231"
"11620","10100","595","서울특별시","관악구","봉천동","청룡동","20080901","99991231"
"11560","10100","535","서울특별시","영등포구","영등포동","영등포동","20080901","99991231"
"11560","10300","535","서울특별시","영등포구","영등포동2가","영등포동","20080901","99991231"
"11560","10400","535","서울특별시","영등포구","영등포동3가","영등포동","20080901","99991231"
"11560","12400","605","서울특별시","영등포구","문래동6가","문래동","20080901","99991231"
"11560","10500","535","서울특별시","영등포구","영등포동4가","영등포동","20080901","99991231"
"11560","12100","605","서울특별시","영등포구","문래동3가","문래동","20080901","99991231"
"11560","12300","605","서울특별시","영등포구","문래동5가","문래동","20080901","99991231"
"11560","12200","605","서울특별시","영등포구","문래동4가","문래동","20080901","99991231"
"11560","10700","535","서울특별시","영등포구","영등포동6가","영등포동","20080901","99991231"
"11620","10200","665","서울특별시","관악구","신림동","서림동","20080901","99991231"
"11560","11900","605","서울특별시","영등포구","문래동1가","문래동","20080901","99991231"
"11560","11800","585","서울특별시","영등포구","도림동","도림동","20080901","99991231"
"11620","10100","545","서울특별시","관악구","봉천동","청림동","20080901","99991231"
"11590","10600","630","서울특별시","동작구","동작동","사당제2동","20080901","99991231"
"11620","10200","685","서울특별시","관악구","신림동","신사동","20080901","99991231"
"11620","10200","695","서울특별시","관악구","신림동","신림동","20080901","99991231"
"11620","10200","715","서울특별시","관악구","신림동","난향동","20080901","99991231"
"11620","10100","575","서울특별시","관악구","봉천동","행운동","20080901","99991231"
"11590","10400","510","서울특별시","동작구","본동","노량진제1동","20080901","99991231"
"11560","13200","515","서울특별시","영등포구","신길동","영등포본동","20080901","99991231"
"11560","12000","605","서울특별시","영등포구","문래동2가","문래동","20080901","99991231"
"11560","10100","515","서울특별시","영등포구","영등포동","영등포본동","20080901","99991231"
"11620","10200","725","서울특별시","관악구","신림동","조원동","20080901","99991231"
"11620","10200","655","서울특별시","관악구","신림동","신원동","20080901","99991231"
"11500","10600","615","서울특별시","강서구","내발산동","우장산동","20080825","99991231"
"11500","10300","615","서울특별시","강서구","화곡동","우장산동","20080825","99991231"
"11200","10300","535","서울특별시","성동구","홍익동","왕십리도선동","20080811","99991231"
"11200","11300","645","서울특별시","성동구","옥수동","옥수동","20080811","99991231"
"11230","10200","535","서울특별시","동대문구","용두동","용두동","20080811","20090503"
"11200","10100","535","서울특별시","성동구","상왕십리동","왕십리도선동","20080811","99991231"
"11200","11000","615","서울특별시","성동구","금호동2가","금호2.3가동","20080811","99991231"
"11200","11100","615","서울특별시","성동구","금호동3가","금호2.3가동","20080811","99991231"
"11230","10700","705","서울특별시","동대문구","청량리동","청량리동","20080811","99991231"
"11200","10400","535","서울특별시","성동구","도선동","왕십리도선동","20080811","99991231"
"11200","10200","535","서울특별시","성동구","하왕십리동","왕십리도선동","20080811","99991231"
"11740","10500","685","서울특별시","강동구","길동","길동","20080707","99991231"
"11305","10100","535","서울특별시","강북구","미아동","미아동","20080630","99991231"
"11170","12300","560","서울특별시","용산구","신계동","원효로제1동","20080630","99991231"
"11170","12400","625","서울특별시","용산구","한강로1가","한강로동","20080630","99991231"
"11170","11000","555","서울특별시","용산구","청파동2가","청파동","20080630","99991231"
"11170","12200","560","서울특별시","용산구","문배동","원효로제1동","20080630","99991231"
"11305","10100","534","서울특별시","강북구","미아동","삼양동","20080630","99991231"
"11170","10800","555","서울특별시","용산구","서계동","청파동","20080630","99991231"
"11170","10900","555","서울특별시","용산구","청파동1가","청파동","20080630","99991231"
"11170","12700","625","서울특별시","용산구","용산동5가","한강로동","20080630","99991231"
"11170","12800","625","서울특별시","용산구","한강로3가","한강로동","20080630","99991231"
"11170","11100","555","서울특별시","용산구","청파동3가","청파동","20080630","99991231"
"11305","10100","545","서울특별시","강북구","미아동","송중동","20080630","99991231"
"11305","10100","555","서울특별시","강북구","미아동","송천동","20080630","99991231"
"11305","10100","575","서울특별시","강북구","미아동","삼각산동","20080630","99991231"
"11305","10300","645","서울특별시","강북구","수유동","우이동","20080630","99991231"
"11305","10400","645","서울특별시","강북구","우이동","우이동","20080630","99991231"
"11305","10300","660","서울특별시","강북구","수유동","인수동","20080630","99991231"
"11170","12500","625","서울특별시","용산구","한강로2가","한강로동","20080630","99991231"
"11170","13100","685","서울특별시","용산구","한남동","한남동","20080630","99991231"
